run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,reconstruction_error,balance_chierichetti,balance_bera,KL_fairness_error,time
0,8,8,0.000688203530094,0.000375120099934,0.228718496958,0.00951010587081,0.000515492308095,0.985587326834,0.979293077765,0.997321346466,-0.25,-3.65082064527e-17,0.0,0.0,0.0,0.196721311475,0.73365520109,0.017800498918
1,8,8,0.000820910320462,0.000431788029749,0.270415357026,0.0133115915634,0.000700864527801,0.912124025047,0.887606371528,0.954374059743,0.017727865222,0.00094838809356,-0.00230919309505,0.0,0.0,0.2528,0.900593772816,0.00486081392493
2,8,8,0.000613693899244,0.000828971409153,0.280797176533,0.0129034663966,0.000158604385379,0.668256872503,0.652926749954,0.630078762041,-0.75,-3.19702413363e-16,0.0,0.0,0.0,0.233802816901,0.785082161873,0.0150984588566
3,8,8,0.000672796880293,0.000569301335217,0.273777000773,0.0143803487974,0.000820140840894,0.854129962545,0.825129122417,0.916153057249,-1.5,-2.09574371705e-16,0.0,0.0,0.0,0.22934232715,0.832616465069,0.00621689800939
4,8,8,0.000635674972728,0.000715423333721,0.278001242514,0.0129231234836,0.00051302497772,0.79053979407,0.767364932187,0.800951146875,-0.25,2.0596222737e-17,0.0,0.0,0.0,0.237562189055,0.856729855009,0.013363378414
5,8,8,0.000600555736675,0.000395370275076,0.245787206764,0.0107873566742,0.000336618385111,0.976226734643,0.966297037093,0.993802573748,-1.1875,-1.63807100929e-16,0.0,0.0,0.0,0.203883495146,0.736200623981,0.038745243493
6,8,8,0.000759914976891,0.000416399060818,0.253878596165,0.0127770789577,0.00156702958873,0.988605519722,0.982581227947,0.996500046608,2.125,5.07009121277e-16,0.0,0.0,0.0,0.211822660099,0.78012997162,0.0237882348689
7,8,8,0.00076299132748,0.000711371486955,0.278039564225,0.0143732404516,0.000236588728689,0.926989659748,0.903052348547,0.961953003189,0.162931764948,0.0993305200447,0.103850447702,0.0,0.0,0.209445585216,0.772891430011,0.022350789661
8,8,8,0.000526197722663,0.000504392543459,0.260608611153,0.0105520737137,0.000524143739592,0.86522072715,0.836554418104,0.93684631852,-1.125,-4.64381090566e-16,0.0,0.0,0.0,0.251162790698,0.892849373353,0.00602110874913
9,8,7,0.000924448037117,0.000729420110603,0.274490909183,0.0124067281298,-3.10579695646e-05,0.82716327292,0.800303272602,0.872265236003,-0.875,1.19907500093e-16,0.0,0.0,0.0,0.252579034942,0.715715041401,0.0311548749725
