fair_majority,fair_minority1,fair_minority2,run,num_iter,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time
0.0,0.0,0.0,4.0,191.0,2.0,2.0,0.1199333353401334,0.1199333353401334,0.1129650652074655,0.1112400983531913,0.1003254441292248,0.9087786447438444,0.9087677362384636,0.9541719970273944,0.9192974399188538,0.919281708082926,0.9604527566749048,0.117867165575304,0.5553001746805185,0.0708182517579044,87.44159126281738
0.0,0.0,0.1,8.0,187.0,2.0,2.0,0.1200239162535829,0.1200239162535831,0.1171564430282274,0.1154396634231004,0.1040864308415253,0.9720821653102542,0.9720788269026768,0.9887715369930236,0.9754103008349282,0.9754055076794216,0.9903069895832424,0.1187236039418113,0.558038779188833,0.0690173875653659,86.84660601615906
0.0,0.0,0.2,7.0,170.0,2.0,2.0,0.1200456863532815,0.1200456863532812,0.1178234548015111,0.1161079166965538,0.1065533139785954,0.884355927355583,0.884342099878576,0.9387069586273168,0.8885992653793031,0.8885775487410154,0.941501957401268,0.1212695405021316,0.5666498090693873,0.0642882874277898,66.98825311660767
0.0,0.0,0.3,8.0,95.0,2.0,2.0,0.1201072799355007,0.1201072799355005,0.1203851044573239,0.1186741809911406,0.1096898856928598,0.9720821653102542,0.9720788269026768,0.9887715369930236,0.9174457582556572,0.9174296561080952,0.9551696448531264,0.1171508903467666,0.5514217185660406,0.0705726310637371,53.07721185684204
0.0,0.0,0.4,1.0,95.0,2.0,2.0,0.1200666610641576,0.1200666610641576,0.1173936803054717,0.1156774044943372,0.1054118426047995,0.8881587436308915,0.8881453697937326,0.9412756805911344,0.8870189201093497,0.8869968986373119,0.9404546927909218,0.1237600377893245,0.5780748858447489,0.0633048771885716,45.23091697692871
0.0,0.0,0.5,2.0,182.0,2.0,2.0,0.1200989200544253,0.1200989200544253,0.1159566379776716,0.1142375252288923,0.102462777077784,0.9960221223453122,0.9960216466595512,0.9986757143721052,0.9905773034064418,0.9905754666840908,0.9967637528109952,0.117454375292466,0.5530966025587705,0.0707818682898756,92.26111936569214
0.0,0.0,0.6,1.0,130.0,2.0,2.0,0.1200467516561798,0.1200467516561802,0.1183806230669589,0.1166658692081532,0.1075767478891375,0.9415325366415344,0.9415255445018036,0.9730274900572352,0.8920310184282103,0.8920099613187438,0.9415018903073796,0.1230046948356807,0.5760471997017985,0.0654417969577702,66.77924227714539
0.0,0.0,0.7,5.0,176.0,2.0,2.0,0.1199827509513845,0.1199827509513845,0.1168846959274907,0.1151674910283074,0.1024454499094699,0.8732970496228787,0.8732818904545259,0.92974388638748,0.9043833291558636,0.9043646939274234,0.950953788689372,0.1440677966101695,0.6641054497005445,0.0511595126359294,106.81196737289427
0.0,0.0,0.8,2.0,236.0,2.0,2.0,0.119619841961027,0.119619841961027,0.1121432850754874,0.1104168387629926,0.099303605787811,0.8493840886031692,0.8493660535742037,0.9081554454008574,0.8922561631616219,0.8922351637235547,0.9435983088923328,0.1635514018691588,0.7464404606039036,0.044217988688923,132.36646819114685
0.0,0.0,0.9,6.0,78.0,2.0,2.0,0.1189267721093244,0.1189267721093244,0.1126837579240346,0.1109583772380143,0.1000214460114844,0.7765754837504426,0.7765487138397177,0.853456999336285,0.8606197092527618,0.8605925444167077,0.9227399797525674,0.1860245514636449,0.8008245321133237,0.0330568330924286,48.67957544326782
0.0,0.0,1.0,4.0,225.0,2.0,2.0,0.1178979998595766,0.1178979998595762,0.1158499156258641,0.114130354236195,0.1066977290357769,0.779178260516102,0.7791517799454974,0.8497890381116651,0.8302295207749707,0.8301964162524252,0.9010894276295864,0.2064090480678605,0.7827551946088385,0.0306448101084312,103.7317237854004
0.0,0.1,0.0,9.0,105.0,2.0,2.0,0.1200988150576498,0.1200988150576499,0.1203197384602928,0.1186086737608677,0.1096439216587354,0.9793280168411538,0.9793255449113356,0.992067446556938,0.9200145853289068,0.919998983898508,0.9562250878538032,0.117205813408345,0.5515981735159817,0.0704213540498364,53.9660222530365
0.0,0.1,0.1,8.0,159.0,2.0,2.0,0.1201379198209522,0.1201379198209521,0.1197584431469713,0.1180463557606834,0.1091204890820899,0.9109140226768832,0.9109033698874516,0.9554664589828894,0.8582026657706954,0.8581750105859395,0.9196311878134268,0.1211121583411875,0.5670429223744292,0.0657629423850278,69.17879319190979
0.0,0.1,0.2,6.0,166.0,2.0,2.0,0.1199757509199052,0.1199757509199053,0.1241799178599306,0.1224764698893233,0.1133723903918896,0.9152841683104948,0.9152740384284528,0.958058009549314,0.8654881004447847,0.8654618677301105,0.924815203241463,0.1228733459357277,0.5743973290377894,0.0639662632013322,55.87578678131104
0.0,0.1,0.3,8.0,230.0,2.0,2.0,0.1200865235140713,0.1200865235140712,0.1155838933612902,0.1138640191945588,0.1019973060534095,0.9920446866045426,0.9920437353021564,0.9973523061817704,0.9804290176298271,0.9804252025404016,0.9924569123966566,0.1170411985018726,0.5512453764750378,0.0710005625849762,86.82624244689941
0.0,0.1,0.4,1.0,107.0,2.0,2.0,0.1201085734435666,0.1201085734435666,0.1172540091586775,0.1155374013080893,0.1048925880995117,0.9066597352339156,0.9066485733433955,0.9528784169291298,0.8984620633176277,0.8984422704668337,0.9477979221827476,0.1187793427230047,0.5575037468022667,0.0683775066705967,47.63497447967529
0.0,0.1,0.5,9.0,169.0,2.0,2.0,0.1200541257691204,0.1200541257691203,0.1125158125100087,0.110789933048718,0.1006004397813229,0.9240250666813732,0.924015981694139,0.9632516258988076,0.9089033082151315,0.908885549155644,0.9541148433274343,0.1181434599156118,0.5560109589041097,0.0699326949447733,68.1139976978302
0.0,0.1,0.6,9.0,177.0,2.0,2.0,0.1199820498070896,0.1199820498070895,0.1147957782103203,0.1130744340264563,0.1021298103114208,0.8812114255984731,0.8811972204044272,0.9367826863049724,0.8902185456909819,0.8901971473353438,0.9425498449632111,0.1231203007518797,0.5771514435350927,0.0656485067261093,93.71891736984252
0.0,0.1,0.7,4.0,180.0,2.0,2.0,0.1199481097746727,0.1199481097746727,0.12220371191094,0.1204962686974933,0.1141037073641724,0.8516944580633956,0.8516767155890925,0.9157461099783032,0.8267267008238548,0.8266929010777958,0.8969945689497971,0.1449549976314542,0.665362035225049,0.0485348835419339,74.50458860397339
0.0,0.1,0.8,0.0,202.0,2.0,2.0,0.1194682594255835,0.1194682594255839,0.1144818606853236,0.1127599835078651,0.1005208734311975,0.8363804087611361,0.8363608208265942,0.90122535267391,0.9149048664349164,0.9148882818033964,0.9572812044037152,0.1648610456900612,0.749454040103236,0.0414669165153453,108.48942518234252
0.0,0.1,0.9,0.0,113.0,2.0,2.0,0.1187805731558978,0.1187805731558979,0.1226618687271378,0.1209555190581664,0.1111053072187251,0.7786426939053831,0.7786161757823951,0.8559065046457052,0.8177662019918684,0.8177306652081643,0.8918893028399192,0.1861124232404346,0.7953472593745868,0.0339695363281822,58.16723918914795
