fair_majority;fair_minority;run;num_iter;row_clus;col_clus;tau_x;tau_y;NMI_true_labels;AMI_true_labels;ARI_true_labels;NMI_rows;AMI_rows;ARI_rows;NMI_cols;AMI_cols;ARI_cols;balance_chierichetti;balance_bera;KL_fairness_error;time
0.0;0.0;0;127;2;2;0.11959138583991683;0.11959138583991709;0.1297355753295666;0.12804301981222452;0.11644169538183914;0.8247417476433402;0.8247207940533103;0.8974568634181674;0.7997150658456351;0.7996760111339533;0.8786835879281385;0.28981288981288983;0.7941195000941276;0.017867207657002754;62.53635549545288
0.0;0.0;1;155;2;2;0.11976439511833348;0.11976439511833344;0.12453782510473507;0.12283551524328894;0.10860163416865186;0.8411736192685658;0.8411546290745737;0.9094187265680982;0.8654746741617891;0.865448456365159;0.9258538783282371;0.2903359601824969;0.7952302735212207;0.017771755163096918;82.99860072135925
0.0;0.0;2;103;2;2;0.1198011964377341;0.11980119643773394;0.11863886920165999;0.11692495438128248;0.10623548754416112;0.8973583419256697;0.8973460686635792;0.9470681749854071;0.9302059753743743;0.9301923703833644;0.9668116404361192;0.2935323383084577;0.8019984696403655;0.016696287432119712;51.30977416038513
0.0;0.0;3;127;2;2;0.1197452499479213;0.11974524994792145;0.11106179190875291;0.10933229920344555;0.1039469483416479;0.896302974688322;0.8962905738708142;0.9464236702640023;0.8456920165939521;0.8456618994528035;0.9062207715474824;0.30432972522897583;0.8246161914439936;0.01317594163348984;51.43911290168762
0.0;0.0;4;232;2;2;0.11985107428781856;0.11985107428781852;0.1141800331373144;0.11245739006517878;0.10213067108082247;0.8892694677989499;0.8892562275265447;0.9419184229229688;0.9054479513130663;0.905429518640876;0.9520068685851486;0.30079265748852735;0.81724830736121;0.01418033127436099;123.23379325866699
0.0;0.0;5;233;3;3;0.1065256431836911;0.09601510944938116;0.12202890798080078;0.11900814445759092;0.10654628397219724;0.5832142154978441;0.5831351769156364;0.6135867333464837;0.6804613452074879;0.680357786695295;0.7478239590024135;0.24363057324840764;0.6923652666571266;0.03544745580712628;110.91151022911072
0.0;0.0;6;123;2;2;0.11997575091990526;0.1199757509199053;0.12417991785993064;0.12247646988932334;0.11337239039188965;0.9152841683104946;0.9152740384284527;0.958058009549314;0.8654881004447847;0.8654618677301105;0.924815203241463;0.29341069208454207;0.8017415012104903;0.016750757553696247;51.450414419174194
0.0;0.0;7;256;2;2;0.1198080245312321;0.1198080245312323;0.1092734914281044;0.10754110247922712;0.09925456144593127;0.8934200574601876;0.8934073110590321;0.9444915137858357;0.8975397782476177;0.8975197978335644;0.9456968855400304;0.30452845866223516;0.8250289773510788;0.013172942441186337;122.20054078102112
0.0;0.0;8;302;3;3;0.10741322117280544;0.09702706618827904;0.13314517092595154;0.13014809687964846;0.11298506526714679;0.5932740642321345;0.5931963213006658;0.6318554301318067;0.6810310319527106;0.6809267364191163;0.751067238818263;0.24315952503871968;0.6912884494633648;0.03640531215334786;115.79028916358948
0.0;0.0;9;113;2;2;0.11975132034469048;0.1197513203446907;0.11168124992363732;0.10995298036450188;0.10425846752025568;0.9004277251669361;0.9004158176160173;0.9490029350266717;0.8469407796224091;0.8469109070074095;0.9072488410231329;0.30432972522897583;0.8246161914439936;0.01317594163348984;57.678874492645264
0.0;0.1;0;98;2;2;0.11970888581251245;0.11970888581251254;0.12491749484460937;0.12321593631539322;0.10838224631985233;0.8432486644529502;0.8432299233970948;0.9106824927543506;0.85950636225682;0.8594789818310716;0.9217031910194139;0.29291666666666666;0.8006974130058172;0.01673958232555154;47.55780863761902
0.0;0.1;1;152;2;2;0.11977449509719815;0.1197744950971981;0.12677763717420482;0.1250793288369118;0.11505809872684572;0.8393342522405007;0.8393150418410633;0.9081558485030795;0.813346097840694;0.8133097011223691;0.8888331023757988;0.2922374429223744;0.7992606177646093;0.01709157590702861;54.89831566810608
0.0;0.1;2;108;2;2;0.11976221762484643;0.11976221762484654;0.1270111147342008;0.1253131862340566;0.11492325989781138;0.8667368455677076;0.866720910389608;0.9271910592111923;0.8308347324480672;0.8308017422245837;0.9010893992151968;0.2894302229562345;0.7933063117094765;0.018248750383704028;55.78270149230957
0.0;0.1;3;234;3;3;0.10688892435486594;0.09706971104293237;0.111779213641184;0.10868333475702395;0.09787931889274437;0.5753438982611773;0.5752634676677936;0.6063067392386879;0.689122156529714;0.6890189288469166;0.7754960263656009;0.2787682333873582;0.7704532998714775;0.019190628234929917;110.17736840248108
0.0;0.1;4;142;2;2;0.11999027461316814;0.11999027461316789;0.11520172631681362;0.11348114556508779;0.10282908920740862;0.8942321092007189;0.8942194609592278;0.9451353567719291;0.9052511236355337;0.905232654678454;0.9520068824239256;0.3018711018711019;0.8194990019396813;0.013945271894375472;69.10061550140381
