run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,reconstruction_error,balance_chierichetti,balance_bera,KL_fairness_error,time
0,8,8,0.0,0.0,0.104017359843,-0.0114334882644,0.00712619134541,0.0510652585897,0.0303174049562,-0.00246605052367,0.345689613456,0.219847110517,0.0235354204246,0.0,0.0,0.315789473684,0.634568807339,0.110981225037
1,8,8,0.0,0.0,0.116985033554,0.000792129890787,-0.00414420100719,0.169568285182,0.134973459996,0.0335051621339,0.957336219279,0.931985237093,0.975774438717,0.0,0.0,0.552511415525,0.790801842155,0.0298623249787
2,8,8,0.0,0.0,0.105913206081,-0.00853763431205,0.0114718746965,0.194717165254,0.156339941693,0.0628400659248,0.88232232413,0.845890784956,0.906663847158,0.0,0.0,0.4,0.755439056356,0.0646150463506
3,8,8,0.0,0.0,0.12292179941,0.00559089510094,0.00572320470422,0.152543783596,0.122832954295,0.00996150419673,0.85462097745,0.809236465226,0.833731499543,0.0,0.0,0.538461538462,0.848106323471,0.0220900904077
4,8,8,0.0,0.0,0.11858618356,0.0015641744409,-0.00277240341309,0.125410881761,0.0964308876817,-0.0137381400956,0.946670698367,0.917253858873,0.952115688708,0.0,0.0,0.391304347826,0.743635321101,0.0846959430145
5,8,8,0.0,0.0,0.10561990859,-0.008804378588,-0.00999672890907,0.162498554105,0.131259302556,0.0106940724615,0.910183641703,0.870443917088,0.912472659755,0.0,0.0,0.490654205607,0.829151764266,0.0261637825826
6,8,8,0.0,0.0,0.12519196638,0.00657883889732,-0.00204142461697,0.00294338113283,-0.000925157725075,-0.000613213774939,0.780611344969,0.735577994998,0.680808900168,0.0,0.0,0.416666666667,0.777657852132,0.0215004365602
7,8,8,0.0,0.0,0.105529136226,-0.00688862312601,-0.0070865288712,0.202183522232,0.174779260801,0.0411290218675,0.882224585676,0.838587750842,0.945998021398,0.0,0.0,0.523364485981,0.734171531208,0.0951614141827
8,8,8,0.0,0.0,0.107960133302,-0.00797383165257,-0.00859052202577,0.0717484352845,0.0485404526238,-0.0186059081777,0.843799161272,0.800002458662,0.825481907687,0.0,0.0,0.5,0.842677477872,0.02108006171
9,8,8,0.0,0.0,0.111225018074,-0.00532994902753,0.00554543660837,0.0230511095158,0.00944458105441,-0.00392520524295,0.93987343997,0.9093721489,0.937750026393,0.0,0.0,0.315789473684,0.634568807339,0.0563247676656
