run;num_iter;row_clus;col_clus;tau_x;tau_y;NMI;AMI;ARI;balance_chierichetti;balance_bera;KL_fairness_error;time
0;156;2;2;0.005404805779098368;0.005404805779098284;0.07203281541938195;0.002733766627600258;2.875812685189801e-05;0.26532973389895875;0.9358706395296544;0.0011710647279222167;4.856074333190918
1;80;2;2;0.005401731980707883;0.005401731980707715;0.07193243620789964;0.0026248707234240755;2.7809490018579367e-05;0.26666666666666666;0.9395935031507943;0.001042375303648235;2.431386947631836
2;106;2;2;0.0054142178819794945;0.005414217881979442;0.07212250762761967;0.0028305531175324603;3.372640183852837e-05;0.2604266769171632;0.9221498451744892;0.0017254387416342672;3.320399045944214
3;88;2;2;0.0054142178819794945;0.005414217881979442;0.07212250762761967;0.0028305531175324603;3.372640183852837e-05;0.2604266769171632;0.9221498451744892;0.0017254387416342672;2.413388729095459
4;121;2;2;0.0053901893783338236;0.005390189378333802;0.0719135601185796;0.002603617038871144;2.7127327298794258e-05;0.2709739633558341;0.9515344676255864;0.0006736930313780039;3.2717084884643555
5;96;2;2;0.005389404447637763;0.005389404447637731;0.07190061244267316;0.002589798869516692;2.6519368903079655e-05;0.27058823529411763;0.9504684279557803;0.0007032818806346954;2.9953200817108154
6;141;2;2;0.005389404447637763;0.005389404447637731;0.07190061244267316;0.002589798869516692;2.6519368903079655e-05;0.27058823529411763;0.9504684279557803;0.0007032818806346954;3.697054862976074
7;141;2;2;0.0054142178819794945;0.005414217881979442;0.07212250762761967;0.0028305531175324603;3.372640183852837e-05;0.2604266769171632;0.9221498451744892;0.0017254387416342672;3.988478422164917
8;114;2;2;0.005391095737910148;0.005391095737910462;0.07199248899583344;0.0026886402456725443;2.7738033106030552e-05;0.2714285714285714;0.9527900411163953;0.0006384634932459533;3.1678316593170166
9;164;2;2;0.005389404447637763;0.005389404447637731;0.07190061244267316;0.002589798869516692;2.6519368903079655e-05;0.27058823529411763;0.9504684279557803;0.0007032818806346954;4.945795059204102
10;128;2;2;0.0054185673907864605;0.005418567390786353;0.07205559863253944;0.002758156577605422;3.2289895647640446e-05;0.2606607760276604;0.922807378170689;0.0016987224353218582;3.339982748031616
11;88;2;2;0.0054169310348881295;0.005416931034887882;0.0720539070527664;0.002756245748500636;3.202924050752966e-05;0.2608528620822128;0.9233467233507311;0.0016754744997313775;2.5722553730010986
12;159;2;2;0.005389404447637763;0.005389404447637731;0.07190061244267316;0.002589798869516692;2.6519368903079655e-05;0.27058823529411763;0.9504684279557803;0.0007032818806346954;4.837525844573975
13;77;2;2;0.0054169310348881295;0.005416931034887882;0.0720539070527664;0.002756245748500636;3.202924050752966e-05;0.2608528620822128;0.9233467233507311;0.0016754744997313775;2.0875394344329834
14;112;2;2;0.0053901893783338236;0.005390189378333802;0.0719135601185796;0.002603617038871144;2.7127327298794258e-05;0.2709739633558341;0.9515344676255864;0.0006736930313780039;2.8378095626831055
15;76;2;2;0.005394653606534076;0.005394653606534186;0.07213655810691472;0.002843885711182752;2.891119359851208e-05;0.26860779020439646;0.9449848475411184;0.0008656005532259193;2.3512485027313232
16;84;2;2;0.0054169310348881295;0.005416931034887882;0.0720539070527664;0.002756245748500636;3.202924050752966e-05;0.2608528620822128;0.9233467233507311;0.0016754744997313775;2.4276511669158936
17;155;2;2;0.0054142178819794945;0.005414217881979442;0.07212250762761967;0.0028305531175324746;3.372640183852837e-05;0.2604266769171632;0.9221498451744892;0.0017254387416342672;4.688115119934082
18;160;2;2;0.0054030323110680145;0.005403032311068154;0.07201749846676762;0.0027161398587166926;2.8972835932310836e-05;0.2694980694980695;0.9474520254551273;0.000788925078103804;5.154376745223999
19;136;2;2;0.0054142178819794945;0.005414217881979442;0.07212250762761967;0.0028305531175324603;3.372640183852837e-05;0.2604266769171632;0.9221498451744892;0.0017254387416342672;3.9448599815368652
20;226;2;2;0.0054169310348881295;0.005416931034887882;0.0720539070527664;0.002756245748500636;3.202924050752966e-05;0.2608528620822128;0.9233467233507311;0.0016754744997313775;8.368022918701172
21;60;2;2;0.0054169310348881295;0.005416931034887882;0.0720539070527664;0.002756245748500636;3.202924050752966e-05;0.2608528620822128;0.9233467233507311;0.0016754744997313775;1.939713716506958
22;185;2;2;0.0053901893783338236;0.005390189378333802;0.0719135601185796;0.002603617038871144;2.7127327298794258e-05;0.2709739633558341;0.9515344676255864;0.0006736930313780039;5.8409905433654785
23;110;2;2;0.0054142178819794945;0.005414217881979442;0.07212250762761967;0.0028305531175324746;3.372640183852837e-05;0.2604266769171632;0.9221498451744892;0.0017254387416342672;3.1644198894500732
24;98;2;2;0.0053901893783338236;0.005390189378333802;0.0719135601185796;0.00260361703887113;2.7127327298794258e-05;0.2709739633558341;0.9515344676255864;0.0006736930313780039;2.8226051330566406
25;169;2;2;0.0054142178819794945;0.005414217881979442;0.07212250762761967;0.0028305531175324603;3.372640183852837e-05;0.2604266769171632;0.9221498451744892;0.0017254387416342672;5.4689857959747314
26;93;2;2;0.005415290562427002;0.005415290562426881;0.07207865340611853;0.0027828401234416844;3.207492950497926e-05;0.2608528620822128;0.9233467233507311;0.0016754744997313775;2.862191677093506
27;153;2;2;0.0054142178819794945;0.005414217881979442;0.07212250762761967;0.0028305531175324603;3.372640183852837e-05;0.2604266769171632;0.9221498451744892;0.0017254387416342672;4.837388038635254
28;66;2;2;0.0054169310348881295;0.005416931034887882;0.0720539070527664;0.002756245748500636;3.202924050752966e-05;0.2608528620822128;0.9233467233507311;0.0016754744997313775;2.078894853591919
