run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;balance_chierichetti;balance_bera;KL_fairness_error;time
1;10;10;None;0.11870159762181817;0.11792604233330051;0.10222068932636633;0;0.0;inf;12135.769823789597
7;10;10;None;0.1176219294609536;0.11682552937906614;0.09989626652652606;0;0.0;inf;12263.507738113403
6;10;10;None;0.11728926307102461;0.11648610309635446;0.10133785667308408;0;0.0;inf;12217.189492940903
9;10;10;None;0.1180759921179498;0.11728780048116966;0.10154426296923906;0;0.0;inf;12152.829505443571
4;10;10;None;0.11925718546877544;0.118468350408139;0.10190630837056154;0;0.0;inf;12231.536893129349
3;10;10;None;0.1169170980317697;0.11611371133507667;0.0978447534336628;0;0.0;inf;12208.596686840056
10;10;10;None;0.12009988698924735;0.119326775881046;0.10590583042994256;0;0.0;inf;12143.220388412476
5;10;10;None;0.11621779224659257;0.11542203233450596;0.10269759919537351;0;0.0;inf;12178.094313383102
8;10;10;None;0.12143233224744011;0.12065794017965184;0.10286246259353882;0;0.0;inf;12156.975909948347
2;10;10;None;0.11764997955453309;0.11685120762015415;0.10083618198898907;0;0.0;inf;12203.803022146223
