run,time
0,12135.769823789597
1,12203.803022146225
2,12208.596686840057
3,12231.536893129349
4,12178.094313383102
5,12217.189492940903
6,12263.507738113403
7,12156.975909948349
8,12152.829505443573
9,12143.220388412476
