fair_majority,fair_minority,run,num_iter,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time
0.0,0.0,9.0,89.0,2.0,2.0,0.0054169310348881,0.0054169310348878,0.0720539070527664,0.0027562457485006,3.202924050752966e-05,0.9951697068489798,0.9951694434872034,0.9984890838016056,0.9938618964215906,0.9938594862937912,0.9978377188595374,0.2608528620822128,0.9233467233507312,0.0016754744997313,67.08662223815918
0.0,0.1,5.0,151.0,2.0,2.0,0.0054142178819794,0.0054142178819794,0.0721225076276196,0.0028305531175324,3.372640183852837e-05,0.9816182109760812,0.9816172087414268,0.9930592429923336,0.9841727057431566,0.9841664920110842,0.993520191625572,0.2604266769171632,0.9221498451744892,0.0017254387416342,119.09319067001344
0.0,0.2,1.0,86.0,2.0,2.0,0.0054169310348881,0.0054169310348878,0.0720539070527664,0.0027562457485006,3.202924050752966e-05,0.9951697068489798,0.9951694434872034,0.9984890838016056,0.9938618964215906,0.9938594862937912,0.9978377188595374,0.2608528620822128,0.9233467233507312,0.0016754744997313,82.3235330581665
0.0,0.3,9.0,196.0,2.0,2.0,0.0054169310348881,0.0054169310348878,0.0720539070527664,0.0027562457485006,3.202924050752966e-05,0.9951697068489798,0.9951694434872034,0.9984890838016056,0.9938618964215906,0.9938594862937912,0.9978377188595374,0.2608528620822128,0.9233467233507312,0.0016754744997313,160.88415479660034
0.0,0.4,0.0,81.0,2.0,2.0,0.0054185673907864,0.0054185673907863,0.0720555986325394,0.0027581565776053,3.2289895647640446e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.2606607760276604,0.922807378170689,0.0016987224353218,65.1568865776062
0.0,0.5,0.0,201.0,2.0,2.0,0.0054185673907864,0.0054185673907863,0.0720555986325394,0.0027581565776054,3.2289895647640446e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.2606607760276604,0.922807378170689,0.0016987224353218,155.46231746673584
0.0,0.6,4.0,54.0,2.0,2.0,0.0054169310348881,0.0054169310348878,0.0720539070527664,0.0027562457485006,3.202924050752966e-05,0.9951697068489798,0.9951694434872034,0.9984890838016056,0.9938618964215906,0.9938594862937912,0.9978377188595374,0.2608528620822128,0.9233467233507312,0.0016754744997313,65.08340668678284
0.0,0.7,3.0,88.0,2.0,2.0,0.005415290562427,0.0054152905624268,0.0720786534061185,0.0027828401234416,3.207492950497926e-05,0.9843726398748128,0.984371787825218,0.99426459500656,0.9888118210939334,0.9888074283582898,0.9956777827760512,0.2608528620822128,0.9233467233507312,0.0016754744997313,77.93020343780518
0.0,0.8,9.0,88.0,2.0,2.0,0.0054142178819794,0.0054142178819794,0.0721225076276196,0.0028305531175324,3.372640183852837e-05,0.9816182109760812,0.981617208741427,0.9930592429923336,0.9841727057431566,0.9841664920110842,0.993520191625572,0.2604266769171632,0.9221498451744892,0.0017254387416342,98.82627129554749
0.0,0.9,0.0,178.0,2.0,2.0,0.0054142178819794,0.0054142178819794,0.0721225076276196,0.0028305531175324,3.372640183852837e-05,0.9816182109760812,0.9816172087414268,0.9930592429923336,0.9841727057431566,0.9841664920110842,0.993520191625572,0.2604266769171632,0.9221498451744892,0.0017254387416342,121.31201910972597
0.0,1.0,5.0,212.0,2.0,2.0,0.0053863175103801,0.0053863175103802,0.0723432614325987,0.0030663025317458,2.973914603852513e-05,0.8168522187857719,0.8168422331156757,0.8909919422578393,0.8547478667534689,0.8546909258898545,0.9132672454982677,0.2863214837712519,0.9933927619904857,1.2615510310896296e-05,214.53733921051025
0.1,0.0,8.0,59.0,2.0,2.0,0.0054185673907864,0.0054185673907863,0.0720555986325394,0.0027581565776054,3.2289895647640446e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.2606607760276604,0.922807378170689,0.0016987224353218,39.80990147590637
0.1,0.1,1.0,117.0,2.0,2.0,0.0054142178819794,0.0054142178819794,0.0721225076276196,0.0028305531175324,3.372640183852837e-05,0.9816182109760812,0.9816172087414268,0.9930592429923336,0.9841727057431566,0.9841664920110842,0.993520191625572,0.2604266769171632,0.9221498451744892,0.0017254387416342,117.22021746635436
0.1,0.2,1.0,156.0,2.0,2.0,0.0054142178819794,0.0054142178819794,0.0721225076276196,0.0028305531175324,3.372640183852837e-05,0.9816182109760812,0.9816172087414268,0.9930592429923336,0.9841727057431566,0.9841664920110842,0.993520191625572,0.2604266769171632,0.9221498451744892,0.0017254387416342,126.9946630001068
0.1,0.3,3.0,83.0,2.0,2.0,0.0054142178819794,0.0054142178819794,0.0721225076276196,0.0028305531175324,3.372640183852837e-05,0.9816182109760812,0.981617208741427,0.9930592429923336,0.9841727057431566,0.9841664920110842,0.993520191625572,0.2604266769171632,0.9221498451744892,0.0017254387416342,91.35883593559264
0.1,0.4,6.0,96.0,2.0,2.0,0.005415290562427,0.0054152905624268,0.0720786534061185,0.0027828401234416,3.207492950497926e-05,0.9843726398748128,0.984371787825218,0.99426459500656,0.9888118210939336,0.98880742835829,0.9956777827760512,0.2608528620822128,0.9233467233507312,0.0016754744997313,89.89908909797668
0.1,0.5,4.0,232.0,2.0,2.0,0.005415290562427,0.0054152905624268,0.0720786534061185,0.0027828401234416,3.207492950497926e-05,0.9843726398748124,0.9843717878252178,0.99426459500656,0.9888118210939336,0.98880742835829,0.9956777827760512,0.2608528620822128,0.9233467233507312,0.0016754744997313,183.55727219581604
