fair_major,fair_minor,tau_x_mean,tau_y_mean,NMI_true_labels_mean,AMI_true_labels_mean,ARI_true_labels_mean,NMI_rows_mean,AMI_rows_mean,ARI_rows_mean,NMI_cols_mean,AMI_cols_mean,ARI_cols_mean,balance_chierichetti_mean,balance_bera_mean,KL_fairness_error_mean,time_mean,tau_x_std,tau_y_std,NMI_true_labels_std,AMI_true_labels_std,ARI_true_labels_std,NMI_rows_std,AMI_rows_std,ARI_rows_std,NMI_cols_std,AMI_cols_std,ARI_cols_std,balance_chierichetti_std,balance_bera_std,KL_fairness_error_std,time_std,tau_x_var,tau_y_var,NMI_true_labels_var,AMI_true_labels_var,ARI_true_labels_var,NMI_rows_var,AMI_rows_var,ARI_rows_var,NMI_cols_var,AMI_cols_var,ARI_cols_var,balance_chierichetti_var,balance_bera_var,KL_fairness_error_var,time_var
0.0,0.0,0.0050973041157217095,0.00509886108046026,0.08066808227689312,0.00768124139385476,0.0001519683332761158,0.7528671868269285,0.752850784008091,0.7784378474247068,0.7636558551808286,0.7635404047462806,0.7815949890730662,0.23916146915252426,0.8548692500421975,0.013428865251942299,74.87220644950867,0.0006811913784531692,0.0006769566050517365,0.021415372114138076,0.010576482889884945,0.00027051351856183004,0.3908982572942753,0.39092559079047473,0.399929943745827,0.3966692629506834,0.3968719754945461,0.40311734863910664,0.05375414115312431,0.1668859149471349,0.025691704545761574,18.727407256382257,4.6402169407892886e-07,4.5827024512317275e-07,0.0004586181627870028,0.000111861990320029,7.317756372470156e-08,0.15280144755570146,0.15282281753488172,0.15994395990454036,0.15734650416983842,0.15750736493294362,0.16250359677382306,0.002889507691110013,0.027850908607742347,0.0006600636824667059,350.71578254639877
0.0,0.1,0.00518111030699442,0.0051811103069944,0.07579042212919282,0.006770631346139031,0.00011668399877804271,0.7270395937663567,0.7270247114631914,0.761443670889101,0.7447315015548133,0.7446312722914696,0.7677693837924982,0.24316167894162702,0.8673553487356959,0.012076336026783669,95.8998076915741,0.0004594950003029377,0.0004594950003029799,0.008015379710309503,0.008613370027471692,0.00018393214811950206,0.38487033995874137,0.38489132374211,0.399649029011297,0.39277044738138317,0.3929247486842701,0.4028056810288481,0.05031612048588636,0.15424068242592448,0.023196713684739856,24.15199337464349,2.1113565530339673e-07,2.111356553034355e-07,6.424631190044127e-05,7.41901432301477e-05,3.383103511185445e-08,0.14812517857995716,0.14814133109195374,0.15971934638967253,0.1542686243361719,0.1543898581285968,0.16225241666911414,0.002531711980750233,0.02379018811521489,0.0005380875257717973,583.318783968823
0.0,0.2,0.005399209804523001,0.00539920980452292,0.07197684078061353,0.00267238356975554,2.863456756910629e-05,0.9080607174859472,0.9080557047589422,0.9501757176534544,0.9305207429648249,0.9304935036687659,0.9584484647821668,0.2672876124823095,0.9412747406158175,0.00103098985907017,110.04177658557892,1.2758136525759584e-05,1.275813652559542e-05,7.835394766168327e-05,8.503223293019467e-05,2.4346160865684252e-06,0.06241998824448203,0.062423391507578495,0.0350335264261122,0.045350269796158964,0.04536804532494183,0.028562935944841737,0.004780559846147223,0.013312269579323717,0.0004716685538818323,33.83411616684991,1.6277004760992083e-10,1.6277004760573196e-10,6.139341114169801e-09,7.230480637094884e-09,5.927355488977753e-12,0.003896254932441275,0.0038966798073084234,0.0012273479738491022,0.002056646970584408,0.0020582595366059765,0.000815841309789132,2.2853752442595156e-05,0.00017721652135258768,2.2247122472097893e-07,1144.7474167918942
0.0,0.3,0.00517943512956669,0.00517943512956664,0.07573134910434609,0.0067071766965669894,0.00011220120480143558,0.7271335431597232,0.7271186659439337,0.7629951401501873,0.7449739975694403,0.7448738772691502,0.7693711742948419,0.24308602658672512,0.867015023142031,0.01225659574936633,102.61865177154542,0.0004628274778078671,0.0004628274778077865,0.007893347736648348,0.008482339508056937,0.00017616917327207228,0.38044399463254264,0.38046473713602713,0.3949107578649528,0.38884364580783964,0.38899637555837474,0.39810591171546894,0.05082746748900936,0.15598892543986215,0.02365149651688335,41.682332341816604,2.142092742139917e-07,2.142092742139171e-07,6.23049384916516e-05,7.195008352994361e-05,3.103557761136543e-08,0.14473763305196613,0.1447534162039862,0.15595450667747135,0.15119938088513266,0.1513181801975521,0.15848831694280477,0.002583431451346304,0.024332544859882874,0.0005593932874881452,1737.4168294536507
0.0,0.4,0.00496583148728419,0.0049658314872842195,0.07954420859161021,0.010805143793608231,0.00019576260309707845,0.574977333118056,0.5749541600104194,0.5901603304888743,0.580995846279491,0.5808313116944924,0.5921870693588287,0.2168706057990759,0.7872393828973119,0.02349471369934828,97.35390727519989,0.0005718426372614943,0.0005718426372614126,0.009686911954344433,0.010409479017980559,0.00021240957246184612,0.4898744784761987,0.48990118741450495,0.4993131469928186,0.49495468628920136,0.49514906618368376,0.5011014363651816,0.05990000087841626,0.1843846356731608,0.02847991290067278,34.68939841622697,3.2700400179018085e-07,3.270040017900875e-07,9.383626321122109e-05,0.0001083572534257775,4.511782647342426e-08,0.23997700466232766,0.24000317343014188,0.24931361875987207,0.24498014147964176,0.24517259774257402,0.25110264952724815,0.0035880101052342683,0.033997693872324236,0.0008111054388299079,1203.3543624797305
0.0,0.5,0.00509538973472402,0.00509687867109016,0.08061373505622292,0.007621857642675839,0.00015027943450242388,0.7436520322796315,0.7436351261800571,0.7722809071351803,0.7576755621508722,0.75755777525,0.7768405612193747,0.24015025147930819,0.8576066922152611,0.01335518356441357,124.9597600221634,0.0006804257705536389,0.000676372472599817,0.02140421760181706,0.010561978501772496,0.000268357569611437,0.3876007566877055,0.3876278888472003,0.39742352494372285,0.3945163632908541,0.39471812119157257,0.40123667416422376,0.054356812490224796,0.16857221880604076,0.025785112985411404,45.23140478266952,4.6297922923351326e-07,4.574797216907902e-07,0.0004581405311459353,0.00011155538987190438,7.201578516775725e-08,0.15023434658488186,0.15025538021213744,0.1579454581786939,0.15564316090424118,0.15580239519700495,0.16099086869436746,0.002954663064097458,0.02841659295319168,0.0006648720516704318,2045.8799786136992
0.0,0.6,0.00529603682293638,0.00529603682293631,0.07389017967868736,0.0047291368276997595,7.32035085254088e-05,0.8499636901357391,0.849955509856065,0.8743290996713604,0.8613886126637661,0.8613342045811662,0.8782801039100695,0.2532335214813613,0.8991506733473041,0.0062354757065757405,84.24644877910615,0.00034987070397349973,0.0003498707039735438,0.005913989900390544,0.006355115293437949,0.00013383860375597878,0.30289987760875586,0.30291639227059614,0.3071982423505616,0.3045717638737382,0.30469136545817466,0.30817322986930523,0.03493711482158547,0.10664180944837023,0.01547942188328982,24.89714138521658,1.224095094989123e-07,1.2240950949894313e-07,3.497527654192136e-05,4.0387490392888906e-05,1.7912771855349894e-08,0.0917483358553993,0.09175834070623368,0.09437076010327436,0.09276395934916014,0.09283682818476693,0.09497073960807964,0.0012206019920566473,0.011372475522422508,0.00023961250184087178,619.8676491554642
0.0,0.7,0.0054062660246,0.0054062660246,0.0720543616196591,0.0027565246662118502,3.114577532531381e-05,0.9413395528585724,0.9413363545514569,0.970121757810292,0.9551651984463418,0.9551476153596343,0.9750053304726002,0.2641692478707227,0.93258255651204,0.00134595824918264,127.25187134742737,1.1288093468678323e-05,1.1288093468617472e-05,8.676409179947558e-05,9.426986627359537e-05,3.050881745814327e-06,0.055856486258735856,0.05585953166066473,0.032129941765529725,0.04047296431871172,0.04048882683359274,0.025972422752373575,0.005029749424024405,0.014011946240913833,0.0005015116925333227,46.87254766501612,1.2742105415761822e-10,1.2742105415624443e-10,7.528007625787828e-09,8.886807687241553e-09,9.307879426943076e-12,0.0031199470571723472,0.003120287277348805,0.0010323331578563312,0.001638060840743712,0.0016393450983606594,0.0006745667436280126,2.5298379268473832e-05,0.0001963346374582593,2.5151397774763806e-07,2197.035724609208
0.0,0.8,0.0052788842867465,0.0052788842867466,0.07368694122238754,0.0045184782360464994,6.828304876677509e-05,0.8002105752862885,0.800199678001016,0.8466718471467491,0.824652811018473,0.8245840023678985,0.8562676059512023,0.26266200203936085,0.9275849159056964,0.0025720081693844598,124.46325349807739,0.0003739323600055238,0.0003739323600055925,0.005283294992107906,0.005704029181989773,0.00012475059770840553,0.28234913967023384,0.28236454748613143,0.29605595959247677,0.2899364212835882,0.29005027715492493,0.29932885213098626,0.02004380850754115,0.05834337218553534,0.005399889474888008,36.54657419153989,1.3982540985930068e-07,1.3982540985935203e-07,2.791320597363248e-05,3.2535948908990927e-05,1.556271162860443e-08,0.07972103667252123,0.07972973767704777,0.08764913121022225,0.08406312838673434,0.08412916327764877,0.08959776171805385,0.00040175425948697904,0.0034039490779798993,2.915880634100629e-05,1335.6520851377293
0.0,0.9,0.00539847369659527,0.00539847369659526,0.07197683721263295,0.00267244141398933,2.9114470093121537e-05,0.9041525698438468,0.9041473440369977,0.9486864760425261,0.9275655318787919,0.9275371323801599,0.9571499273388027,0.2673404749491445,0.9414183804757974,0.00102904385660754,100.68774020671844,1.1448704232981135e-05,1.1448704232977834e-05,0.0001008085244097774,0.00010943017367848915,3.197063737584797e-06,0.055465862860100044,0.055468886960156914,0.03206441168678357,0.0405542451740416,0.04057013829866698,0.026325556401154016,0.004948792945408657,0.013787026876037263,0.0004935773208706293,12.470098601644954,1.3107282861428017e-10,1.3107282861420456e-10,1.0162358593676688e-08,1.1974962911304301e-08,1.022121654217967e-11,0.0030764619428154255,0.0030767974205986657,0.0010281264968195426,0.0016446468016362765,0.001645936121572965,0.0006930349198303412,2.4490551616526495e-05,0.00019008211008057378,2.4361857167782807e-07,155.50335913474743
