run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;NMI_rows;AMI_rows;ARI_rows;NMI_cols;AMI_cols;ARI_cols;balance_chierichetti;balance_bera;KL_fairness_error;time
3;25;25;None;0.004360159960298564;0.001980903627576968;-0.007024472274926115;0.052567826138264356;0.03561033904763001;0.030259111654842685;0.13618157589214946;0.1120173646699844;0.23876877466454555;0;0.0;inf;9835.94649720192
6;25;25;None;0.00722574739591077;0.0041412515778306985;-0.02102173139880882;0.0675677349615762;0.05199317623916186;0.05323670037791313;0.13103769055780937;0.10237743177386607;0.15333437754505902;0;0.0;inf;9969.189223289492
10;25;25;None;0.0051216638796475625;0.0025168184742009356;-0.010447915150270373;0.05908393564981463;0.042133022980056174;0.040152247303835535;0.1276768738813776;0.10446872957106851;0.21291463933556112;0;0.0;inf;7943.385755300523
8;25;25;None;0.005273320563159796;0.002537039132838431;-0.014892069609715668;0.06340869589662407;0.0483788906122253;0.05589689462521626;0.13572311586326286;0.10873470708376415;0.14705983119401259;0;0.0;inf;9659.374011516573
2;25;25;None;0.003440463508579865;0.0009750905449442531;-0.0070065066740539325;0.057065774247492346;0.040725426239473984;0.03388991350183131;0.13210706870988076;0.10866737579809739;0.21304628547722199;0;0.0;inf;9803.63326215744
1;25;25;None;0.006270088087068803;0.0037420409659135994;-0.011779479037680986;0.06435309558809874;0.047655350672406484;0.043304271051169574;0.1329740539049701;0.10800170721756662;0.22802761106456512;0;0.0;inf;9872.444814682009
4;25;25;None;0.007673849536022823;0.0048453308495304825;-0.021354341702950412;0.06846524844842591;0.05222059922923077;0.04980192472942471;0.12970288215953957;0.10415363102239941;0.2227578812104905;0;0.0;inf;9889.57116150856
5;25;25;None;0.00652104644275863;0.003417459032571168;-0.01861427226961076;0.06701008878988848;0.05111059094033475;0.043492773349857794;0.11004724114744455;0.08236680986924315;0.0809992019796338;0;0.0;inf;9988.145977497099
7;25;25;None;0.0042081251136991855;0.0018873757299411964;-0.006857557569917838;0.052988703620389675;0.03591773956829493;0.03035088302143139;0.13782051812924945;0.1126135648429215;0.24420532389497562;0;0.0;inf;9703.260413885117
9;25;25;None;0.005758147819376251;0.003293021728843372;-0.00880594506652372;0.054472388954436776;0.037397980670516355;0.03461919419914033;0.12764267695381606;0.10544322950738333;0.20750597044728603;0;0.0;inf;9633.917366027832
