run,time
0,54658.80179929733
1,54611.07515215874
2,44787.85729455948
3,37896.65674996376
4,38030.65891098976
5,37992.514964580536
6,37940.43222308159
7,37944.132053375244
8,37762.07711148262
9,20392.629249095917
