run,time
0,5176.061762332916
1,5207.207936763763
2,5495.473326921463
3,5443.626267671585
4,5139.602991819382
5,5045.175394296646
6,5138.98669219017
7,4749.995351076126
8,4766.815741300583
9,4937.501156806946
