run;num_iter;row_clus;col_clus;tau_x;tau_y;NMI;AMI;ARI;balance_chierichetti;balance_bera;KL_fairness_error;time
0;26;18;18;0.5737950573023511;0.5746680628241925;0.15386690213034265;-0.007961092460679435;-0.0011334223464733496;0.4117647058823529;0.7666410338166063;0.09067470286346932;0.0653679370880127
1;22;18;18;0.5645540358469782;0.5632005955382507;0.16812826451507348;0.00811692648805697;0.011399437441724072;0.32142857142857145;0.6431440614926853;0.1544021781662519;0.037302494049072266
2;23;17;17;0.5682520848316464;0.5653607348712185;0.1572214340014048;0.0003689510760704342;0.0016306573776253212;0.3548387096774194;0.6924858016601135;0.08246547786166868;0.04021501541137695
3;23;22;22;0.5622853887392053;0.5581927247483531;0.1680577370245395;-0.006086938267613862;-0.007352259858346299;0.36585365853658536;0.708224115334207;0.16641443264108347;0.051069021224975586
4;26;22;22;0.567875362224981;0.5653410550285486;0.17248651053166947;-0.0017782831874001007;0.0008333944402340962;0.35714285714285715;0.6704624313923412;0.2930199931898349;0.052442312240600586
5;20;20;20;0.5718300926331497;0.567178801721927;0.17010295711583873;0.0023802431688785884;0.0048024845186340395;0.36666666666666664;0.7093756992615797;0.1657097693570551;0.0370175838470459
6;28;19;19;0.5657412506892474;0.5683599036195515;0.1634139300599755;0.0002391611006111152;-0.0015190382260545816;0.391304347826087;0.7406604210039326;0.18190248424353975;0.06971549987792969
7;21;21;21;0.5655776675392062;0.5643243669516836;0.16525453298014586;-0.0070816287077981495;-0.0013795499767005883;0.43333333333333335;0.7993599317260507;0.07237055795812007;0.07215166091918945
8;25;20;20;0.554285529995456;0.5566491950375159;0.15074819981054152;-0.02027813661527039;-0.0008711976688149805;0.4057971014492754;0.7632270878653172;0.11560290139458629;0.046164512634277344
9;19;22;22;0.5616284735170248;0.5611401251823135;0.17899908971487305;0.00620571348774589;-0.0022328512673947544;0.37037037037037035;0.7146045127696504;0.0960075398201648;0.04463458061218262
10;27;20;20;0.5489307913032628;0.5523291053890405;0.1617807621194272;-0.006189501766463563;0.00024890589026268616;0.37735849056603776;0.724393615684303;0.12538502624558004;0.08258795738220215
11;25;20;20;0.5588275884923329;0.558042355246883;0.17591809832899086;0.010180643804529904;0.006700666415943219;0.22727272727272727;0.48963642541624186;0.20490743616569754;0.07440447807312012
12;22;17;17;0.5544634839355256;0.5542279394785596;0.167226842202303;0.011254287302911588;0.0036081580395399267;0.4117647058823529;0.7711773700305811;0.11387186412740281;0.036574363708496094
13;24;23;23;0.5695739517301704;0.5669561561064139;0.17621139348753223;0.001579109746983872;0.0011925888746448158;0.3181818181818182;0.40206473214285715;0.5641796888107873;0.05549120903015137
14;25;19;19;0.5709717683353325;0.5684417391027826;0.1823659966539628;0.02277280929047889;0.001088005915746795;0.35294117647058826;0.6897487036298364;0.1620021624114232;0.046298980712890625
15;22;20;20;0.5552981781676795;0.5525167140449064;0.18070868167786547;0.016929210102985242;0.0010517067160933959;0.34545454545454546;0.6788742871311678;0.2475592524070608;0.06815552711486816
16;22;19;19;0.5619633054493226;0.5622820428351217;0.15562807750425223;-0.011554291077586622;-0.002371119158053662;0.37735849056603776;0.724393615684303;0.12029753735039289;0.04635429382324219
17;22;17;17;0.5659204274765004;0.567680962594573;0.15003199383541466;-0.007226163519987016;-6.613422204946025e-05;0.45161290322580644;0.7564191533657183;0.09113706215251835;0.07608556747436523
18;27;20;20;0.5595306446464668;0.5620399422537418;0.16674260721716072;1.5402185566206904e-05;0.004451429949524673;0.2777777777777778;0.574790586358197;0.20073900034663444;0.0718221664428711
19;27;21;21;0.5640595735001642;0.561235154221248;0.1805758809519368;0.01210480630412822;3.6323966661227014e-05;0.25;0.5288073394495413;0.17505897881076804;0.061105966567993164
20;18;20;20;0.5652092637541329;0.5648925772111132;0.17671999817587802;0.01079311790496655;-0.0007095313370576948;0.3939393939393939;0.7365133861718837;0.16307125113469886;0.03908896446228027
21;19;20;20;0.565818596168135;0.5656967345987743;0.1666616158735364;-0.001562230256623237;-0.00012526073417944397;0.25;0.5288073394495413;0.25720492159685643;0.05268549919128418
22;24;20;20;0.5641860749787911;0.5640711406514283;0.17680524951775103;0.01036189931950346;0.0028797204214609305;0.3333333333333333;0.6610091743119265;0.13318435045618235;0.0774087905883789
23;21;21;21;0.5605560830995967;0.558464025790065;0.1756019659441887;0.005855613825763396;0.001681932050034808;0.23809523809523808;0.5084685956245589;0.26066884198901186;0.04709911346435547
24;29;17;17;0.5752669754166388;0.5754005461529702;0.14878755567948337;-0.010394258650957765;0.0004350679778153955;0.4;0.7554390563564874;0.12406909456975486;0.08142828941345215
25;28;21;21;0.56664839626659;0.5693239954519147;0.17252489914833513;0.0034924769024917307;0.0018176333142277453;0.37142857142857144;0.6736858084663429;0.2558910486941978;0.06418514251708984
26;24;22;22;0.5699276894585182;0.5729976394329331;0.17457520650388678;0.0019337194400055886;0.00417683881292844;0.3235294117647059;0.6463200815494393;0.15582473788559595;0.06487321853637695
27;25;19;19;0.5690486055907378;0.5691660095910409;0.15839723217030144;-0.006503713201682209;0.0005561805250629558;0.42857142857142855;0.6753742440765341;0.18391555986965752;0.06262540817260742
28;22;17;17;0.5685421934546337;0.5690298197545335;0.1495768832060237;-0.006797351485173357;0.0040605570768541726;0.32;0.6409785932721712;0.12392606101991083;0.05359220504760742
29;21;17;17;0.5687823735004549;0.5681153133823112;0.16595328251313637;0.010083927533260846;0.00733818742892232;0.2222222222222222;0.4807339449541284;0.16384414009927367;0.05611681938171387
