run,time
0,9046.431015491486
1,9119.704375505447
2,9107.65784573555
3,9057.284408569336
4,8930.93030667305
5,9108.066045045853
6,8958.89869093895
7,8811.53103852272
8,8886.033014059067
9,8808.39565372467
