run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;balance_chierichetti;balance_bera;KL_fairness_error;time
2;25;25;None;0.009704028208146386;0.007655755677182619;-0.006828208205176319;0.022222222222222223;0.1060765718299965;0.8905381528374392;9119.704375505447
10;25;25;None;0.009856099261504943;0.007783619463613864;-0.006960099267788679;0.02666666666666667;0.1585052222747074;0.893785342290712;8808.39565372467
8;25;25;None;0.008606312611602815;0.00660852522551656;-0.004863046551060374;0.038461538461538464;0.21888816409364353;0.708672508426798;8811.53103852272
6;25;25;None;0.009003684951977203;0.006942326348054338;-0.007113772179217575;0.046875;0.24335213537469783;0.7973820602587038;9108.066045045853
9;25;25;None;0.00806081562878124;0.006023527203025367;-0.004719176825021872;0.07692307692307693;0.4074304690743047;0.6420872734105019;8886.033014059067
1;25;25;None;0.008015662869365675;0.005999112931220044;-0.00484823352970509;0.07142857142857142;0.3866342337728844;0.6033957221759652;9046.431015491486
4;25;25;None;0.008913152898342023;0.006874779686451338;-0.003952124827449773;0.05333333333333334;0.29978161604129444;0.8047227170306361;9057.284408569336
3;25;25;None;0.008153241392098077;0.006144069780973346;-0.0030411774989297915;0.0970873786407767;0.47551566682412216;0.4412488814974177;9107.65784573555
7;25;25;None;0.008524129941640049;0.006509192065069125;-0.004560449103432311;0.06097560975609756;0.3283322461404653;0.6150586903327259;8958.89869093895
5;25;25;None;0.00816397739367526;0.006103623797319013;-0.006788864539176009;0.05;0.2507264425072644;0.7831656417300491;8930.93030667305
