run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,25,25,,0.0080156628693656,0.00599911293122,-0.004848233529705,0.0714285714285714,0.3866342337728844,0.6033957221759652,9046.431015491486,0.003703639422003142,0.004106069685374238
2,25,25,,0.0097040282081463,0.0076557556771826,-0.0068282082051763,0.0222222222222222,0.1060765718299965,0.8905381528374392,9119.704375505447,0.0038889006280233085,0.004218590508998801
3,25,25,,0.008153241392098,0.0061440697809733,-0.0030411774989297,0.0970873786407767,0.4755156668241221,0.4412488814974177,9107.65784573555,0.0040821870174787035,0.00496081605102186
4,25,25,,0.008913152898342,0.0068747796864513,-0.0039521248274497,0.0533333333333333,0.2997816160412944,0.8047227170306361,9057.284408569336,0.003905883582332922,0.004109530397082435
5,25,25,,0.0081639773936752,0.006103623797319,-0.006788864539176,0.05,0.2507264425072644,0.7831656417300491,8930.93030667305,0.0038478039327722534,0.004467497128303403
6,25,25,,0.0090036849519772,0.0069423263480543,-0.0071137721792175,0.046875,0.2433521353746978,0.7973820602587038,9108.066045045853,0.0036783511833259706,0.004013269324797681
7,25,25,,0.00852412994164,0.0065091920650691,-0.0045604491034323,0.0609756097560975,0.3283322461404653,0.6150586903327259,8958.89869093895,0.003892584221404317,0.005119223758599398
8,25,25,,0.0086063126116028,0.0066085252255165,-0.0048630465510603,0.0384615384615384,0.2188881640936435,0.708672508426798,8811.53103852272,0.0039864931884369455,0.004568327268672298
9,25,25,,0.0080608156287812,0.0060235272030253,-0.0047191768250218,0.0769230769230769,0.4074304690743047,0.6420872734105019,8886.033014059067,0.0036160591441593373,0.0041000606780456465
10,25,25,,0.0098560992615049,0.0077836194636138,-0.0069600992677886,0.0266666666666666,0.1585052222747074,0.893785342290712,8808.39565372467,0.0039038589829753596,0.004270766610230925
