fair_majority,fair_minority,tau_x_mean,tau_y_mean,NMI_true_labels_mean,AMI_true_labels_mean,ARI_true_labels_mean,NMI_rows_mean,AMI_rows_mean,ARI_rows_mean,NMI_cols_mean,AMI_cols_mean,ARI_cols_mean,balance_chierichetti_mean,balance_bera_mean,KL_fairness_error_mean,time_mean,tau_x_std,tau_y_std,NMI_true_labels_std,AMI_true_labels_std,ARI_true_labels_std,NMI_rows_std,AMI_rows_std,ARI_rows_std,NMI_cols_std,AMI_cols_std,ARI_cols_std,balance_chierichetti_std,balance_bera_std,KL_fairness_error_std,time_std,tau_x_var,tau_y_var,NMI_true_labels_var,AMI_true_labels_var,ARI_true_labels_var,NMI_rows_var,AMI_rows_var,ARI_rows_var,NMI_cols_var,AMI_cols_var,ARI_cols_var,balance_chierichetti_var,balance_bera_var,KL_fairness_error_var,time_var
0.0,0.0,0.00528979760986018,0.00528979760986013,0.07382182823355878,0.00465529214994139,6.901485370765695e-05,0.8181315018998407,0.8181215860387834,0.8583275331079108,0.8364958033166934,0.8364316343148681,0.8649248765911451,0.2550704001218215,0.9038138533915976,0.00665638392236695,5.229716849327088,0.0003502037287625746,0.0003502037287625222,0.005777681650700077,0.006208857937577847,0.00012621267387722467,0.28508443054699445,0.28509997391532593,0.29407593156170925,0.29044495619025723,0.2905590164539914,0.29618269072534803,0.03828035301545093,0.11746655785028019,0.017783615900128714,2.606648540473887,1.226426516392109e-07,1.2264265163917424e-07,3.338160525683637e-05,3.854991688902344e-05,1.592963904723867e-08,0.08127313254030409,0.08128199512651951,0.08648065352388709,0.08435827257636044,0.08442454204271084,0.08772418628530716,0.001465385426987543,0.013798392213193223,0.00031625699448331086,6.794616613554645
0.0,0.1,0.00518203329897663,0.00518203329897665,0.07573711148600547,0.00671346598747318,0.0001128131181094885,0.741178085876362,0.741163974404525,0.7706484264162168,0.7551257676488415,0.7550296246039394,0.7755456807056483,0.24237719080586242,0.8650714213624585,0.012278088254158829,7.007080602645874,0.00046416315351051704,0.0004641631535104488,0.007898597714898753,0.00848793562331835,0.00017546117524006434,0.3887860556127419,0.3888072529477275,0.39925525464070566,0.3947248967879761,0.3948799380933818,0.4016149747410482,0.05034007824869892,0.15453570135474665,0.023477770600367234,2.5077837255327564,2.154474330768278e-07,2.1544743307676444e-07,6.23878458618038e-05,7.204505114559667e-05,3.078662401662457e-08,0.15115459703891404,0.15117107994475817,0.15940475835821472,0.1558077441442784,0.15593016550863303,0.16129458793625276,0.0025341234780851297,0.023881282993203443,0.000551205712363468,6.28897921404695
0.0,0.2,0.0050771717797142,0.00507717177971419,0.07774318891963788,0.00886961758339797,0.00015668046138768535,0.666397634162655,0.6663794455222607,0.6841066234127882,0.6741046132585342,0.6739766391832452,0.6867371041594523,0.2285278325552773,0.8230437833413905,0.01809321406815411,7.467001271247864,0.0005322495834084014,0.0005322495834083478,0.009178487166920322,0.009863060470806654,0.00020208418644018032,0.45888897814317176,0.45891399761914314,0.4679817866015086,0.4634338729969415,0.4636158881011897,0.469649069898422,0.056374525913956114,0.17351258833515334,0.02685246372175911,2.6832966138566596,2.8328961903841685e-07,2.8328961903835983e-07,8.424462667332104e-05,9.727996185078877e-05,4.0838018409189564e-08,0.21057909426128438,0.21060205721078293,0.21900695259073993,0.2147709546409453,0.21493969169985486,0.22057024885645285,0.0031780871720233092,0.030106618310764395,0.0007210548079283892,7.200080717934615
0.0,0.3,0.00539745889394147,0.00539745889394143,0.07197755014548572,0.0026731123921600202,2.886327744138419e-05,0.9005685283153605,0.900563107100578,0.9463428791685274,0.9245697793636742,0.9245402073658406,0.9548356343395321,0.26750895818771525,0.9418889868701239,0.00101126841249725,10.394609737396241,1.1860194708485263e-05,1.1860194708483594e-05,9.781701754766046e-05,0.00010609653430859057,3.084468396668607e-06,0.056860370269298424,0.05686347040457479,0.03274207631294656,0.04234208243701256,0.042358676777324425,0.027312841686748763,0.004819374910449995,0.01342901074622591,0.00048338815602783373,2.7180078829458485,1.4066421852318184e-10,1.4066421852314226e-10,9.568168921919313e-09,1.1256474592293937e-08,9.513945290047407e-12,0.0032331017071617163,0.003233454266451953,0.001072043561282816,0.0017928519451027676,0.0017942574983258438,0.0007459913210054011,2.32263745274749e-05,0.00018033832962225098,2.336641093879893e-07,7.387566851755774
0.0,0.4,0.0052873443314181,0.0052873443314181,0.07384438540596885,0.004679297179708291,6.85328687036646e-05,0.8127293101873088,0.8127190997962679,0.85505100601618,0.8343908794880374,0.8343258884056629,0.8627954932022629,0.2552182526511074,0.9042222147160472,0.006646054247677889,9.929693269729615,0.00034933743757301495,0.00034933743757297993,0.005770114151536894,0.006200808382240621,0.0001263829261864882,0.28307999113880616,0.28309542522384373,0.2928732002155968,0.2893731712065639,0.28948681238347973,0.2953425910796608,0.038349100661202895,0.11765228463635674,0.017787533706235252,3.7446782291554763,1.2203664529008012e-07,1.2203664529005567e-07,3.3294217321766326e-05,3.845002459326554e-05,1.5972644031459326e-08,0.08013428138314659,0.08014301978266891,0.08577471140452507,0.08373683221414337,0.083802614543948,0.08722724610564775,0.001470653521523072,0.013842060080154303,0.0003163963553504552,14.022615039910995
0.0,0.5,0.00529127307072628,0.0052912730707262694,0.07392482746879521,0.004765800308463771,7.21263427662177e-05,0.8178355533523793,0.817825621393448,0.8562538086030049,0.8365787070998822,0.83651456361071,0.8633183894240746,0.25496890239986475,0.9035519337001258,0.00665642712207281,12.393331956863403,0.00034569012138042145,0.00034569012138045273,0.00606948375715934,0.006522319699253402,0.00013566734765174923,0.2911575427784468,0.29117341717986217,0.3002131401343434,0.29566776857026894,0.2957839059279141,0.30234881005029596,0.03813954567328439,0.11695366259987597,0.017692759228276393,5.7520925764218545,1.195016600200105e-07,1.1950166002003216e-07,3.6838633078421055e-05,4.254065425926899e-05,1.840562921886059e-08,0.08477271471678308,0.08478195887219807,0.09012792950932291,0.0874194293713221,0.08748811900597314,0.09141480293882993,0.0014546249441645459,0.013678159195525626,0.0003130337291097595,33.08656900772741
0.0,0.6,0.00529341561373616,0.00529341561373614,0.07387885663143001,0.004716748280611241,7.233025851537823e-05,0.8299598796463916,0.8299506086891484,0.8634365772189568,0.8437076078224358,0.8436462482922625,0.8681404586760332,0.25469767219956907,0.9032277759131198,0.00610707213376383,12.126370668411255,0.0003463847690971207,0.0003463847690971474,0.005929380304560008,0.006371858260859454,0.00013600890804143243,0.2954318653868964,0.2954479729353739,0.3030396870837991,0.29821915822919115,0.29833632274660077,0.3041969749654069,0.035480978213266574,0.10821830750281236,0.01563654636517343,4.306358055872645,1.1998240826246565e-07,1.1998240826248412e-07,3.5157550796104136e-05,4.0600577696482866e-05,1.849842306662282e-08,0.08727998708598128,0.08728950471162142,0.09183305194784687,0.08893466633492735,0.08900456146996394,0.09253579957810437,0.0012588998149702974,0.011711202078773254,0.00024450158223021846,18.544719705379222
0.0,0.7,0.00540659683721679,0.0054065968372167305,0.07203057681941036,0.00273101167836696,3.0983458415360235e-05,0.9426946848503487,0.9426915604275854,0.9706113138480186,0.9561287928023304,0.9561115886822265,0.9752381920266247,0.26419833793279873,0.932670748255944,0.00133549358858848,15.726575422286988,1.2109977606403438e-05,1.2109977606368523e-05,9.881044052886584e-05,0.00010719252368890959,3.240525407863053e-06,0.05752146806553191,0.05752460424660659,0.032980400783156616,0.04277356306897051,0.042790326634218244,0.02749557192368895,0.0046674659770666515,0.013007091186496693,0.00046988007888466507,5.347169121511399,1.4665155762759275e-10,1.466515576267471e-10,9.763503157508534e-09,1.1490237134797445e-08,1.0501004919006007e-11,0.003308719288414008,0.003309080093728709,0.0010877068358176377,0.0018295776976151982,0.001831012053463087,0.0007560064754107521,2.178523864707475e-05,0.00016918442113383994,2.207872885326591e-07,28.592217614044987
0.0,0.8,0.00515391129333682,0.00515391129333682,0.07532349832912143,0.006286365383324111,0.00010822446201971285,0.7294745495053927,0.7294597908717877,0.7630493541434987,0.7469210035360307,0.7468216457262065,0.7694022213427715,0.25451211519912514,0.9040601422765965,0.004493498360351129,13.538061928749084,0.0005190574371621263,0.0005190574371620451,0.006966136753667939,0.007522552210421646,0.00016544650628536772,0.38587821196058447,0.38589926967153915,0.40041107242782253,0.39382537180395333,0.3939800558523059,0.4037137503370408,0.02582865844927022,0.07531785460111011,0.007155504507078118,3.965042718908463,2.6942062307331475e-07,2.6942062307323047e-07,4.852706127080329e-05,5.65887917585196e-05,2.7372546442034222e-08,0.14890199446589777,0.1489182463330273,0.16032902692279893,0.15509842347652208,0.15522028440938607,0.16298479221119855,0.0006671195972890579,0.005672779221713963,5.1201244750815264e-05,15.721563762769016
0.0,0.9,0.00499188042826371,0.0049918804282637,0.07652031340156086,0.007607557815266649,0.0001374653203233833,0.6426398924974089,0.6426203814056664,0.6716553492322398,0.6567522471629733,0.6566175082756384,0.6766883473326127,0.25624698533902673,0.9097868568828013,0.00326758864907334,12.555816769599915,0.0006615529380196629,0.0006615529380196083,0.007298693747357022,0.007927591179439714,0.00017359775402472715,0.4399635891919009,0.4399876202204935,0.45562406377811787,0.4489607861039396,0.449137069386128,0.45902881249864197,0.01687502653970805,0.04813367590678089,0.0034676828837059857,3.6784505969487973,4.376522898024479e-07,4.3765228980237567e-07,5.3270930417708484e-05,6.284670190833036e-05,3.0136180202429675e-08,0.19356795981461972,0.19358910594729323,0.20759328749368644,0.2015657874590674,0.20172410709675956,0.2107074507039134,0.00028476652071585107,0.0023168507562990187,1.202482458194746e-05,13.530998794192962
