run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;NMI_rows;AMI_rows;ARI_rows;NMI_cols;AMI_cols;ARI_cols;balance_chierichetti;balance_bera;KL_fairness_error;time
6;10;10;16992.906913722458;0.12986636765641033;0.0042771544128718236;0.0035062092283454378;0.3757257731975742;0.36726359144488174;0.19031633749237592;0.22018694180030607;0.16897991243487914;0.08317739239081282;0.47126436781609193;0.7816331251445755;0.0441086202014672;3555.617820262909
8;10;10;16989.22885930286;0.13028848776020427;0.0048347735091383605;-0.005854925614413083;0.3422841329237128;0.3333279440350565;0.1751803795252863;0.16651960537263363;0.11100054993745741;0.051583784443691966;0.4782608695652174;0.8342858309180717;0.04214972198577334;3557.878401041031
5;10;10;17934.61067329398;0.12337304604022536;0.002668838524312965;-0.01112826670952391;0.45763783437103384;0.4500470597892066;0.26082508647594005;0.32632833835120184;0.2817939978419301;0.1708635410253962;0.29411764705882354;0.6009174311926605;0.12020049235801825;3558.8664383888245
2;10;10;16985.84818541727;0.13373163049708364;0.00981318605483542;-0.011206771124907486;0.2824014102684372;0.2726587543948717;0.1248465372629559;0.16586969437722773;0.11019023485051102;0.06567035678195515;0.5126050420168067;0.7834341231287796;0.05703205114732351;2805.460762500763
3;10;10;17068.80756411771;0.12170442475425072;-0.004012816558980492;-0.014206315634104783;0.37538657978494455;0.3668753886112395;0.1938053182806551;0.2144258392178238;0.16191619820904354;0.08212992618190476;0.4336283185840708;0.6933842239185751;0.08545517991019745;3580.703943490982
4;10;10;17943.814571742543;0.11282136874069187;-0.003961172217569145;-0.00949356934461181;0.45687439217809117;0.44915975779128636;0.2634253940014442;0.29230486310498655;0.24563644545150484;0.15158304448510995;0.4523809523809524;0.5360863095238095;0.21080367383448034;3562.5539984703064
9;10;10;17896.541475803195;0.11175597999867844;-0.006040671177548825;-0.015132477042374814;0.44922980048946176;0.4414286999200737;0.2622412405922439;0.32210716219776814;0.2777931708935295;0.1739371518628976;0.3333333333333333;0.44673859126984133;0.3216972895127291;3555.552832365036
7;10;10;17987.08901257019;0.11804905943632989;-0.0017019008245438138;-0.012253834054459916;0.46341828984671385;0.45579005831246916;0.2636215812405525;0.3035709367296628;0.2578169594344652;0.1428962820028244;0.16666666666666666;0.3777195281782437;0.3399888693925133;3566.4948737621307
10;10;10;18030.9957222527;0.10904328720879868;-0.011805536551550179;-0.023875314782657333;0.4482370108038537;0.4404190675065805;0.26534089203835554;0.29776432008670617;0.24986693844288008;0.1410975158443049;0.450261780104712;0.5360863095238095;0.23330504125207563;3583.764477968216
1;10;10;16698.605900554263;0.12337276308412266;0.0035256084395765023;-0.010143282618959344;0.446158250479784;0.4384321955144997;0.24965522259813244;0.29482680864073246;0.24751120121254624;0.15339032759172494;0.4074074074074074;0.630349294471432;0.15211134658839176;1884.8608086109161
