algorithm,tau_x_mean,tau_x_std,tau_y_mean,tau_y_std,ARI_true_labels_mean,ARI_true_labels_std,ARI_rows_mean,ARI_rows_std,ARI_cols_mean,ARI_cols_std,balance_bera_mean,balance_bera_std,time_mean,time_std
taucc_vanilla,0.5655824943319245,0.005235190297742,0.5644415565523555,0.004912263585157,0.0004177654434433,0.0046895091249445,,,,,0.7208185096322484,0.0449005734331094,0.0516080617904662,0.0125133287896493
taucc_fair,0.5744288093170811,0.0118025470396296,0.5750858756728587,0.0124289674341913,0.0001749911827537,0.0055953805484919,0.0252241778458779,0.0061641831238611,0.0024732936116803,0.0051075710739616,0.8906612973367414,0.0272678321681988,0.1230075120925902,0.0285682825623535
taucc_fair_max,0.5775827170463298,0.0083592706328132,0.5786104335730128,0.0090179900456625,-0.0004554828246033,0.0075161638237937,0.0270860908621648,0.0057820920343122,0.0023862013457111,0.0058584460994682,0.8901780835842562,0.0332620910145539,0.1163602590560912,0.0183122218807061
lbm_vanilla,0.0415386657860803,0.0098286846054259,0.0262533896831911,0.005374183367324,-0.0100542001019144,0.0051664597303892,,,,,0.5528377106355038,0.0556594333932709,3242.936159181595,508.3788315185886
lbm_fair,0.0283072431497278,0.0156111205857839,0.0169749255037447,0.0082708302855205,-0.0109788547697666,0.0069495290574204,0.2249257989507941,0.0500693652983099,0.1216329322610622,0.045915302054001,0.6220634767269798,0.1517932336530227,3321.1754356861115,558.3841691466408
fatr_vanilla,0.0,0.0,0.0,0.0,0.003212840543992,0.01856620382916,,,,,0.0,0.0,5.844400048255,0.2555012658845378
fatr_fair,0.0,0.0,0.0,0.0,-0.000476510148879,0.0074281852002753,0.0118781308769571,0.0260822247264368,0.79943324099516,0.2862091882019852,0.4444541607436,0.0885957137472569,5.844400048255,0.2555012658845378
