algorithm,tau_x_mean,tau_x_std,tau_y_mean,tau_y_std,ARI_rows_mean,ARI_rows_std,ARI_cols_mean,ARI_cols_std,ARI_van_rows_mean,ARI_van_rows_std,ARI_van_cols_mean,ARI_van_cols_std,balance_bera_mean,balance_bera_std,time_mean,time_std
taucc_vanilla,0.1358215042723144,0.0121381788788339,0.1356925034563335,0.0117851535309344,0.3474688018040898,0.0651266703689384,0.3437829066408758,0.0646970863706241,,,,,0.7082790114106174,0.2781647923228272,0.3539113998413086,0.20163920842768
taucc_fair,0.1408063565010226,0.0104864776524061,0.140132032713581,0.0102738453496996,0.3265689151054692,0.0580840203909414,0.3064837587072087,0.0540210672835364,0.5580269676722055,0.1514522631300205,0.5326152122090952,0.1575441224525932,0.8696505136370145,0.041916310690534,0.4995259761810303,0.2716766465949223
taucc_fair_max,0.1410110562997554,0.0095344386622366,0.1396252260812949,0.010010474754488,0.3342218777375642,0.056561747715756,0.3173726172035553,0.0519013121681291,0.6029339992427509,0.125035983536426,0.6028932115312547,0.128571266180121,0.8222673124165318,0.1146351481190974,9.00038514137268,3.842632722652219
