algorithm,tau_x_mean,tau_x_std,tau_y_mean,tau_y_std,ARI_true_labels_mean,ARI_true_labels_std,ARI_rows_mean,ARI_rows_std,ARI_cols_mean,ARI_cols_std,balance_bera_mean,balance_bera_std,time_mean,time_std
taucc_vanilla,0.1089207088666931,0.0107318277380996,0.1041682910241083,0.0132075383493173,0.0897691378436451,0.0243229165336386,,,,,0.7869103694259212,0.0457885733289153,3.370333194732666,1.0965651922360604
taucc_fair,0.1164964786764852,0.0103371787855993,0.1164964786764852,0.0103371787855993,0.105937942813482,0.0113784294172017,0.8303415590481343,0.2855195566627131,0.8289580423357948,0.2709832350391665,0.5940861743768595,0.0776588115291712,42.5077287197113,15.275857727651427
taucc_fair_max,0.1148474975609367,0.0083684952278793,0.114589071984912,0.009185624750911,0.1069909335504459,0.0040113616395278,0.7142380420562319,0.1446826561790191,0.8488951127388422,0.1083098385417624,0.8693372167203354,0.0092815704205879,16.96629912853241,5.791436935206271
lbm_vanilla,0.0038505761302911,0.0001443399550863,0.0043934151411126,0.0003835733003377,-0.0053675152526957,0.0014433992617537,,,,,0.287524276793338,0.114959864827645,8983.493239426612,121.10207794944051
lbm_fair,0.0011918564973964,0.0008162107001378,0.0014274340405631,0.0011236252265122,-0.0127804290754458,0.0058091160608266,0.0415003913814662,0.0093029560740455,0.1948619896813351,0.0516736231623856,0.0,0.0,9629.886848306656,604.8828871796658
fatr_vanilla,0.0,0.0,0.0,0.0,0.051544866685701,0.0370588854901262,,,,,0.0,0.0,837.125099945,9.33206065493698
fatr_fair,0.0,0.0,0.0,0.0,0.070403897066885,0.0439995714992873,0.4888117910991999,0.1076276961930815,0.7546640217529401,0.3636961456592171,0.1476734721132,0.0602291140605,837.125099945,9.33206065493698
