algorithm,tau_x_mean,tau_x_std,tau_y_mean,tau_y_std,ARI_true_labels_mean,ARI_true_labels_std,ARI_rows_mean,ARI_rows_std,ARI_cols_mean,ARI_cols_std,balance_bera_mean,balance_bera_std,time_mean,time_std
taucc_vanilla,0.0053998689864901,1.069906303788456e-05,0.0053998689864901,1.0699063037853612e-05,2.921702895001262e-05,3.026243205796141e-06,,,,,0.939764347081324,0.0126409598656377,3.5087437629699707,0.835344674823184
taucc_fair,0.0053902408664246,1.348203853718236e-06,0.0053902408664246,1.3482038536967045e-06,2.699118015523836e-05,5.93994894727116e-07,0.9255656340739818,0.0035724622725417,0.9382480689271184,0.0032812411770415,0.9507104344426908,0.0014071829771143,28.660027956962587,9.292126228618775
taucc_fair_max,0.0053635265682578,4.555015951563467e-05,0.0053635265682579,4.555015951578305e-05,2.889033262440601e-05,8.068858475781347e-07,0.901993029561282,0.0063449972266477,0.932204320594492,0.0103603897899003,0.9929092856652584,0.0003088146550274,25.29442667961121,5.7021258181718855
lbm_vanilla,0.0019548781128968,3.483291629184092e-05,0.0019668686788355,6.97470367371146e-05,0.0015614690300503,0.0001840086450128,,,,,0.393438011465871,0.027893869823605,38414.79440057278,5950.140080070021
lbm_fair,0.0018958996830931,4.371343340958689e-05,0.0019078442277187,7.355790363890704e-05,0.0012971090524846,8.136347660225874e-05,0.3477925329232694,0.0305709106650872,0.7684391816116499,0.0486437091855384,0.8030369272863801,0.019489430061258,40201.6835508585,9781.722494298114
fatr_vanilla,1.36901498510421e-05,3.5955771112066565e-05,0.4001002943565046,0.2106065341003591,0.0008952616521171,0.0006442442735349,,,,,0.0,0.0,8109.904799938,39.74783925721392
fatr_fair,0.0007005387403647,0.0001179044095126,0.0005677557684685,0.0001663459514209,0.0005341449512446,0.0004428914147435,0.9060245550442,0.1150218946524476,0.010154125460695,0.0329295295069481,0.2279122210682,0.0212091478228528,8109.904799938,39.74783925721392
