run;num_iter;row_clus;col_clus;tau_x;tau_y;NMI;AMI;ARI;balance_chierichetti;balance_bera;KL_fairness_error;time
0;238;3;3;0.10663618485531563;0.09660784365562551;0.11039326040859651;0.10729708845283259;0.09588271249922481;0.27705627705627706;0.7667483214487608;0.019738009688236774;4.501610994338989
1;92;2;2;0.08743526567536783;0.08743526567536801;0.08465743296261821;0.08287765020256048;0.051712526931634493;0.26132864056313243;0.7322403010958011;0.026799064303620453;2.168348550796509
2;162;3;3;0.09539459379675154;0.08933135807582143;0.084218898301884;0.08116804749607284;0.03417717340037662;0.32208157524613223;0.8609987176773776;0.006651517098041709;3.9464926719665527
3;103;2;2;0.11993133700064339;0.11993133700064366;0.11047331119003138;0.10874341836923136;0.09976002270309808;0.3029925187032419;0.8218354279762922;0.013618371599387356;2.4273362159729004
4;123;2;2;0.11989816983952327;0.11989816983952331;0.12433655967518088;0.12263374254134864;0.11056299235751071;0.29580390527627753;0.8067881203766116;0.015879083155298915;2.794710159301758
5;121;2;2;0.11988625892920497;0.11988625892920518;0.11104901352926509;0.10932017407687454;0.10113171164104597;0.30324459234608986;0.8223600595932575;0.013520139277138743;2.7162351608276367
6;175;2;2;0.12005759550020383;0.12005759550020377;0.11776391998509446;0.11604826610484624;0.10449778109200061;0.29536039768019884;0.8058542942113303;0.016116282705391893;3.827430248260498
7;266;3;3;0.1064538215572958;0.09593309062420144;0.12437054677464478;0.12135915008191192;0.10937999664408526;0.24429102496016994;0.6938736877173819;0.034765623304274074;5.873199701309204
8;127;3;3;0.10723684753892752;0.09648428396652664;0.11289418705998903;0.10980151718700468;0.09812471270746277;0.2799570123589468;0.7730201987895368;0.018971229271337937;2.797447681427002
9;125;3;3;0.10627701397369749;0.09611770697396493;0.10324949535754453;0.10013194401010311;0.09246174846001226;0.2857142857142857;0.7853845653728626;0.017450744376781017;2.6505205631256104
10;118;2;2;0.1198545259270214;0.1198545259270213;0.11407163674670613;0.1123480879701877;0.10540916000941723;0.3011198672749896;0.8179315827456621;0.014245683107738508;2.7000839710235596
11;130;2;2;0.11975936181615793;0.11975936181615814;0.12507547404686087;0.12337418897258651;0.10899703782005868;0.2899875363523058;0.7944904733771857;0.017835241210220856;2.9123051166534424
12;110;2;2;0.11984192965500477;0.11984192965500488;0.1109937557246208;0.10926423626009112;0.10312185392962038;0.30303030303030304;0.8219140800413679;0.013641427445975948;2.7093231678009033
13;156;2;2;0.12009488760927275;0.12009488760927302;0.11584049385706906;0.11412114632389785;0.10231397397093821;0.29589722337339414;0.8069845246379941;0.01592709552321253;3.5876998901367188
14;368;3;3;0.10671241627090883;0.09596569812487397;0.12195145744789947;0.11893046952075471;0.10661751804783513;0.2457627118644068;0.6972291549738678;0.034257138999335635;8.285274744033813
15;176;2;2;0.11988199383428981;0.11988199383428963;0.10926748952222312;0.10753512613662793;0.09890779465051107;0.30423940149625933;0.8244285399420681;0.01324710708886822;3.9087846279144287
16;114;2;2;0.11977801646817485;0.11977801646817468;0.12481988318952623;0.12311809395472954;0.10887928042632258;0.29164935604486913;0.7980153882318666;0.017263715149883285;2.626405715942383
17;177;2;2;0.11980017485498014;0.11980017485498003;0.11425592675041787;0.1125334412032693;0.10202079837144921;0.30183180682764366;0.8194170593312965;0.013922290465680665;3.9717631340026855
18;144;2;2;0.11981072539533605;0.11981072539533605;0.12590187402135536;0.12420225979119272;0.10827323686827425;0.2922885572139303;0.7993687948814266;0.01711590671438353;3.4193646907806396
19;124;2;2;0.11980520434161782;0.11980520434161787;0.11238878477091337;0.1106619095458506;0.10443365306548828;0.30411300373909433;0.8241658994387415;0.013295708064643794;2.5299205780029297
20;272;3;3;0.10588188504349373;0.09575669051310365;0.11220219166783153;0.10914060086686493;0.09663948420524301;0.27984665936473163;0.772782117276379;0.018890382915061003;5.926898241043091
21;137;2;2;0.11983690944447951;0.11983690944447958;0.11203605856415082;0.11030918339033118;0.10094165424104039;0.3009991673605329;0.8176795787009948;0.014175947189543528;2.976325273513794
22;107;2;2;0.11985435248801969;0.11985435248801977;0.11192092964785354;0.11019387297625562;0.09945972194318374;0.3000831255195345;0.8157654900564036;0.014505934601968605;2.4912497997283936
23;175;2;2;0.11962287041730946;0.11962287041730947;0.13015073101621982;0.12845895882171723;0.11748948539419135;0.291044776119403;0.7967340533117768;0.017541196140963604;3.9327211380004883
24;220;2;2;0.11981730764593239;0.11981730764593244;0.11424514424588986;0.11252265717757438;0.10192237649248029;0.30062370062370064;0.8168953591562048;0.01432682209127678;4.628093004226685
25;179;3;3;0.10801172074818506;0.0982408382708746;0.13418799636711431;0.1311843124931698;0.11526987475534682;0.239386189258312;0.6826330559947374;0.039723204587974605;3.9107484817504883
26;183;2;2;0.1198077818095339;0.11980778180953393;0.11398299271883669;0.11225996646464996;0.10199441760894923;0.30054189245518964;0.8167244302411067;0.01428072978443317;3.9924681186676025
27;111;3;3;0.10889968438535409;0.09877927754137093;0.11455685476145455;0.1114366695170736;0.10985501204708507;0.28169734151329245;0.7767694574559285;0.01939999182421258;2.4984822273254395
28;161;2;2;0.11982354998961149;0.1198235499896116;0.11409090550805209;0.11236806881124209;0.10172935180520129;0.2999582811848143;0.8155044163234586;0.014436693351828296;3.6343772411346436
29;171;3;3;0.09743506897592118;0.09266893237482317;0.13718815733525486;0.13432255698386825;0.07898069282873221;0.20567375886524822;0.602898151653874;0.056165260622896576;4.190387725830078
