run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;NMI_rows;AMI_rows;ARI_rows;NMI_cols;AMI_cols;ARI_cols;balance_chierichetti;balance_bera;KL_fairness_error;time
6;10;10;None;0.11213823342263715;0.11134445137074002;0.0932127324696128;0.5131138175641502;0.4979542071212289;0.33830291185480504;0.6456105210784231;0.6442370642519074;0.8086279977719412;0;0.0;inf;14364.588452100754
1;10;10;None;0.11534696271500047;0.11454832930440918;0.09619205869381817;0.5446565769057644;0.5309149516834373;0.3527327552455905;0.6890118201229086;0.6878182338598526;0.8389297916346264;0;0.0;inf;14162.237831592558
4;10;10;None;0.11412809835077256;0.11334116560332422;0.0996603780288107;0.5360299429932514;0.5219557522167055;0.35826560191563395;0.6966832059014645;0.6955332807299107;0.8507967264244142;0;0.0;inf;14341.960282087326
3;10;10;None;0.11282979273534387;0.11202665889963397;0.0986160549094483;0.5032873046062747;0.4867624798070106;0.2913865802264022;0.6885032164843099;0.6873550004666791;0.8387052504550254;0;0.0;inf;14288.637993574142
10;10;10;None;0.11861250566259963;0.1178372784717964;0.1003953143642184;0.5257882941327493;0.5114810088850189;0.3355632661442957;0.7059729622050547;0.7048436043274892;0.8518090042188238;0;0.0;inf;12079.197191238403
9;10;10;None;0.11865605483294389;0.11788760494171399;0.10276594137209948;0.5634677386565697;0.550109524531515;0.35624476532979216;0.6912657648529668;0.6900704672175033;0.8476966062929576;0;0.0;inf;13252.300539255142
7;10;10;None;0.11518320135779174;0.11438651766302817;0.09893098734725002;0.538603366126304;0.5246541085959876;0.35374418423341947;0.6842496114241398;0.6830514366710881;0.8341669008457372;0;0.0;inf;14260.903262138369
5;10;10;None;0.11832658764781222;0.11756021497937708;0.10194024220149762;0.550279627345616;0.5363389198133599;0.34501741022679405;0.6779431035133053;0.6767189412246996;0.8318468464722617;0;0.0;inf;14329.107666015625
8;10;10;None;0.10680106230743863;0.10600235918574179;0.08824156703711687;0.5169296517029739;0.501760053537098;0.3465207835984222;0.6070481788001196;0.6055478609970355;0.7626573536452941;0.16129032258064516;0.22771317829457366;1.2740587211611016;14254.75384426117
2;10;10;None;0.11453646044654092;0.11374264084665105;0.09990029681402363;0.572244653571232;0.5586084498905374;0.4183129829399936;0.6608579526362593;0.6595660299876616;0.8217517183482951;0;0.0;inf;14334.164553403854
