run,time
0,14162.23783159256
1,14334.164553403854
2,14288.637993574142
3,14341.960282087326
4,14329.107666015625
5,14364.588452100754
6,14260.903262138367
7,14254.75384426117
8,13252.300539255142
9,12079.197191238403
