run,row_clus,col_clus,NLL,NMI_true_labels,AMI_true_labels,ARI_true_labels,balance_chierichetti,balance_bera,KL_fairness_error,time,tau_x,tau_y
1,10,10,18024.75200269668,0.118638153023446,-0.0053242085014716,-0.0132172036068131,0.2,0.4406727828746177,0.2765065275439882,3456.942655086517,0.038084479989441415,0.02231448589777604
2,10,10,17957.10714349892,0.1303363335324498,0.0093674439548081,-0.012962416155257,0.2777777777777778,0.574790586358197,0.1872186214488393,3433.2762022018437,0.03149855600928781,0.022165756642250123
3,10,10,17871.677118254127,0.1115197869048739,-0.0083967702023529,-0.021745689272962,0.4117647058823529,0.5360863095238095,0.2273425827172056,3426.4195070266724,0.04548655067797623,0.028051559792203085
4,10,10,17852.064552294658,0.110316286262674,-0.005681748431219,-0.0052829840085256,0.4105960264900662,0.4948489010989012,0.2557690983478162,3424.245141983032,0.04048094471127318,0.027502478313671343
5,10,10,16865.902604438605,0.1209477157892609,-0.0038288657251887,-0.0071662498384399,0.3892215568862275,0.595651455026455,0.1821715041056219,3424.251902341843,0.020302915121688525,0.01572757869767057
6,10,10,17873.90536068834,0.1308932744073558,0.0106383490271327,-0.0094754689794257,0.3181818181818182,0.5215974903474904,0.2602688567996128,3433.3606872558594,0.04372405284987604,0.02524239296799417
7,10,10,17782.18748893671,0.1250035663538835,0.0059543652938366,-0.0076837128617216,0.3888888888888889,0.630349294471432,0.1531835737227568,3422.3025031089783,0.04211864313848686,0.027449326211479077
8,10,10,17926.746300988852,0.1175947243473912,9.174103615825751e-05,-0.0111600732465949,0.36,0.562890625,0.2377170959916719,3422.1354072093964,0.050881263570046735,0.03423059618678729
9,10,10,17936.32719169275,0.1280002446878695,0.0105232209459249,-0.0034061418982698,0.4172185430463576,0.5789732142857142,0.180873099917876,3171.404518127441,0.05239450696003607,0.03301346701973956
10,10,10,18015.16263392032,0.1120206586267486,-0.0091860373813302,-0.0084420611511352,0.4375,0.592516447368421,0.211792447380251,1815.0230674743648,0.050414744832690934,0.026836255102341187
