run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;balance_chierichetti;balance_bera;KL_fairness_error;time
2;10;10;17957.10714349892;0.13033633353244983;0.009367443954808152;-0.012962416155257056;0.2777777777777778;0.574790586358197;0.18721862144883938;3433.2762022018433
10;10;10;18015.162633920318;0.11202065862674862;-0.009186037381330229;-0.008442061151135265;0.4375;0.592516447368421;0.21179244738025105;1815.0230674743646
9;10;10;17936.32719169275;0.12800024468786955;0.010523220945924975;-0.003406141898269813;0.41721854304635764;0.5789732142857142;0.18087309991787606;3171.404518127441
3;10;10;17871.677118254127;0.11151978690487392;-0.008396770202352927;-0.02174568927296205;0.4117647058823529;0.5360863095238095;0.2273425827172056;3426.4195070266724
4;10;10;17852.064552294658;0.11031628626267401;-0.005681748431219018;-0.005282984008525642;0.4105960264900662;0.4948489010989012;0.25576909834781625;3424.245141983032
5;10;10;16865.902604438605;0.12094771578926096;-0.0038288657251887184;-0.0071662498384399646;0.38922155688622756;0.595651455026455;0.18217150410562194;3424.251902341843
1;10;10;18024.752002696678;0.11863815302344602;-0.00532420850147164;-0.013217203606813121;0.2;0.4406727828746177;0.27650652754398825;3456.942655086517
6;10;10;17873.90536068834;0.13089327440735585;0.010638349027132775;-0.00947546897942574;0.3181818181818182;0.5215974903474904;0.26026885679961287;3433.3606872558594
7;10;10;17782.18748893671;0.12500356635388352;0.005954365293836661;-0.007683712861721678;0.3888888888888889;0.630349294471432;0.15318357372275684;3422.3025031089783
8;10;10;17926.746300988852;0.11759472434739121;9.174103615825751e-05;-0.011160073246594996;0.36;0.562890625;0.23771709599167196;3422.1354072093964
