run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;balance_chierichetti;balance_bera;KL_fairness_error;time
8;10;10;None;0.2644788267576286;0.036288468056388204;0.0016190326307100554;0.10147058823529412;0.4111505616257314;0.3547902733518908;34735.970611572266
10;10;10;None;0.26301359590428586;0.03413674930449956;0.0014352321921081376;0.11211031175059952;0.449915864783662;0.36985948462302226;34771.2816286087
5;10;10;None;0.26589871305802115;0.03798780174852662;0.0016095003769160882;0.08934426229508197;0.36604555023049196;0.42347847543058476;34712.25414633752
7;10;10;None;0.2637941704475207;0.036200223089714274;0.0012733017043205625;0.09847036328871893;0.40008365658531425;0.34859736779237716;34849.046026706696
9;10;10;None;0.26666934928156943;0.03793694339398292;0.0015823962441200241;0.08585055643879173;0.352863445912414;0.36194711256318773;34759.88625526428
3;10;10;None;0.26618601308043105;0.0385345204303857;0.001854879029340848;0.10095735422106179;0.40926167607595865;0.3716854387580618;44392.09583449363
1;10;10;None;0.2644125389998547;0.035069897492860054;0.0014333823483568796;0.0986784140969163;0.40085304224235974;0.3616945944491549;48189.76442670822
6;10;10;None;0.2644344508143164;0.0371432758296885;0.001569422185207528;0.08964558721334259;0.3671785198058988;0.36372147738832084;34946.791275024414
4;10;10;None;0.2652068922412482;0.037107849860330576;0.0014059668754454434;0.09461805555555555;0.3857847234387976;0.43622952544479987;34651.04789686203
2;10;10;None;0.2675449378011134;0.037034691459370224;0.001831576713978843;0.09608540925266904;0.3912430739580824;0.4145731076341009;48139.80590415001
