run,time
0,48189.76442670822
1,48139.80590415001
2,44392.09583449364
3,34651.04789686203
4,34712.25414633751
5,34946.791275024414
6,34849.046026706696
7,34735.970611572266
8,34759.88625526428
9,34771.2816286087
