fair_majority,fair_minority,fair_minority2,tau_x_mean,tau_y_mean,NMI_true_labels_mean,AMI_true_labels_mean,ARI_true_labels_mean,NMI_rows_mean,AMI_rows_mean,ARI_rows_mean,NMI_cols_mean,AMI_cols_mean,ARI_cols_mean,balance_chierichetti_mean,balance_bera_mean,KL_fairness_error_mean,time_mean,tau_x_std,tau_y_std,NMI_true_labels_std,AMI_true_labels_std,ARI_true_labels_std,NMI_rows_std,AMI_rows_std,ARI_rows_std,NMI_cols_std,AMI_cols_std,ARI_cols_std,balance_chierichetti_std,balance_bera_std,KL_fairness_error_std,time_std,tau_x_var,tau_y_var,NMI_true_labels_var,AMI_true_labels_var,ARI_true_labels_var,NMI_rows_var,AMI_rows_var,ARI_rows_var,NMI_cols_var,AMI_cols_var,ARI_cols_var,balance_chierichetti_var,balance_bera_var,KL_fairness_error_var,time_var
0.0,0.0,0.0,0.11719283937268676,0.11683542257300258,0.11767860869000071,0.11583919722916733,0.10140192470249235,0.8267612771847952,0.8267359016095457,0.8730124010525916,0.8325215902726019,0.8324824668903453,0.8840746016190673,0.11877105120834688,0.5575789945882781,0.07647469595444675,3.024424695968628,0.008438529703432235,0.009568702840650374,0.009306143084086537,0.009630101888772459,0.01865100277007717,0.19396736275696827,0.19400489480650532,0.20902776619104027,0.1550800400924704,0.15513020977546754,0.15995584881989902,0.010055451881902478,0.03891468785847655,0.03751057552898067,1.0039302837652957,7.120878355570812e-05,9.156007405267053e-05,8.66042991014917e-05,9.273886238813889e-05,0.00034785990432942624,0.03762333781489332,0.03763789920888319,0.043692607038816195,0.024049818835082223,0.02406538198498057,0.025585873571694395,0.0001011121125492561,0.0015143529311226623,0.0014070432765153633,1.007876014661067
0.0,0.0,0.1,0.11847520830722369,0.11742911806274603,0.11638738754257856,0.11453722245101458,0.10264946256742524,0.8545752816631209,0.8545549146133936,0.9046687618411655,0.8702790347076321,0.8702493614887231,0.9231400425670163,0.1200880188471305,0.5622697590129413,0.07222708794568503,3.7588184118270873,0.004528094569844236,0.007835068157628439,0.005670311971901545,0.0055302059710632505,0.003949793523720974,0.10362709176658125,0.10364863744020564,0.11170844819720227,0.07603242752176874,0.07606050162317604,0.0664075997846522,0.003302211332272348,0.013009172000908177,0.016618800430244565,0.8035450436600553,2.0503640433452852e-05,6.138829303468311e-05,3.2152437858689986e-05,3.0583178082383626e-05,1.5600868880028144e-05,0.010738574147999452,0.010743040043211197,0.012478777398627022,0.005780930034853016,0.005785199907169166,0.00440996930915854,1.0904599682987915e-05,0.0001692385561492133,0.00027618452774029695,0.6456846371906402
0.0,0.0,0.2,0.11855691630435375,0.11748816114840359,0.11471950974516328,0.11286389914436357,0.10346020364404447,0.8752569152300644,0.8752390790518361,0.9185938031106916,0.8749912904425685,0.8749622922638421,0.9258732158852736,0.11873180569107374,0.5572159283578535,0.0743382696009661,5.726340365409851,0.004132362205527507,0.007511575188409828,0.005255903422902966,0.005060111189764904,0.004296030881956283,0.1087463797842706,0.1087680546375464,0.10845005751726722,0.08273409140048045,0.08276382665378561,0.06626049852562829,0.0026737050192228253,0.009422348076916935,0.015929987888930415,1.465343037024098,1.7076417397672165e-05,5.642376181113414e-05,2.7624520790883117e-05,2.5604725252783994e-05,1.8455881338722084e-05,0.011825775116184815,0.011830489709636278,0.011761414975498567,0.0068449298798630535,0.006849851002377873,0.004390453664864789,7.148698529817329e-06,8.878064328258025e-05,0.0002537645141414697,2.147230216155007
0.0,0.0,0.3,0.11630589348134465,0.11485980665782199,0.11918440376057873,0.1172197592912257,0.10255038149645027,0.8129765343378613,0.8129473576517665,0.8561888821294238,0.8185784045130055,0.8185329942947851,0.8691142894098312,0.12046103357081257,0.5625329436845811,0.07927366720939853,5.135553169250488,0.00786138850495548,0.010495672541046355,0.009029938743492115,0.008689345086553328,0.010705124913875147,0.1716908450436505,0.1717257220803744,0.19154613396103198,0.13987733407928332,0.13992490667078525,0.150959551058113,0.004852782844337246,0.01835127939294506,0.02706087015428564,1.727476027792008,6.180142922584618e-05,0.00011015914208887445,8.153979371121996e-05,7.550471803320847e-05,0.00011459969942167037,0.029477746271802812,0.029489723624025983,0.03668992143541761,0.01956566858912744,0.019578979506827965,0.02278878605566703,2.3549501334293887e-05,0.00033676945535792997,0.0007322906935071073,2.9841734265960542
0.0,0.0,0.4,0.1173159271640875,0.11702573612026637,0.1206336421910424,0.11880591902916789,0.10425062838903867,0.8333555685066484,0.8333317185925209,0.87971448192962,0.8383740576899698,0.8383366056971786,0.8856364654719343,0.11995786222581425,0.5611249677588723,0.0751217924032754,5.2641517162323,0.007736341241540065,0.008653735264823518,0.008232125941237158,0.008010297134987784,0.00969240813288117,0.1592259378552392,0.15925684264694615,0.17859470905467684,0.14249465249430907,0.14254064963100976,0.1585996293358787,0.002979406527274739,0.010114054889662676,0.026487495766628323,1.2715095878846072,5.985097580555367e-05,7.488713403365016e-05,6.776789751238976e-05,6.41648601907935e-05,9.394277541434102e-05,0.025352899285880498,0.025362741929874165,0.03189607010232467,0.0203047259894739,0.020317836797230284,0.025153842425478114,8.87686325476732e-06,0.0001022941063111095,0.0007015874319871533,1.6167366320824836
0.0,0.0,0.5,0.11739572474136772,0.11676990833215617,0.11678591423563434,0.11494118634694872,0.10142082122877842,0.82473138106867,0.8247058054266431,0.8736586773473425,0.8163000124594035,0.8162575015532145,0.8742016863561624,0.11936097903524368,0.5602416443775186,0.07403632113428575,5.533992314338684,0.007621099672694868,0.009599617412108661,0.012403975242998718,0.012780380057994664,0.023745172562045353,0.1909870995184017,0.19102405822394908,0.20082623143164025,0.15160072625999946,0.15165065801319147,0.14975954530829796,0.004862057810048247,0.015899176579949145,0.02646444511054131,1.4770342841448536,5.8081160221149826e-05,9.21526544588598e-05,0.00015385860182892512,0.0001633381144267877,0.0005638332200013115,0.03647607218245187,0.036490190820346685,0.04033117523103473,0.022982780202559287,0.022997922075833954,0.022427921410948147,2.3639606148251155e-05,0.00025278381592040337,0.0007003668550088538,2.1816302765393
0.0,0.0,0.6,0.11851876025046341,0.11737072590308155,0.11965559966708161,0.11780837074955194,0.10654278830008095,0.8349147746614636,0.834891998313735,0.8916913928588002,0.8496490985128062,0.8496155931239965,0.9090782986412123,0.12440379257836864,0.5798202238344929,0.0660710334964186,7.859996509552002,0.0039881133843399,0.00761799518627588,0.00719000428297051,0.007220072684686324,0.006296740451246346,0.10214576533551371,0.10216698507110594,0.10821435608418896,0.07452538798404197,0.07454977304059486,0.05908545632497344,0.0022407512530823867,0.007885646138502532,0.011930477690791834,2.830409941490102,1.5905048366351052e-05,5.803385065812248e-05,5.169616158913427e-05,5.212944957215358e-05,3.9648940310362035e-05,0.010433757375977836,0.010438092838519583,0.011710346862715644,0.005554033454171988,0.005557668660404205,0.0034910911491303435,5.020966178190286e-06,6.218341502167989e-05,0.00014233629793048162,8.011220436886003
0.0,0.0,0.7,0.1140319386644401,0.10970665838751033,0.11673195647527126,0.11447504203168382,0.10236873166477704,0.7253220736456127,0.7252766178782666,0.77349849036854,0.793161698344202,0.7931030317465647,0.8585808578595842,0.13964211360713752,0.6417695756592758,0.06596968540150808,8.95927197933197,0.007307974975621393,0.012884689931428786,0.008773499825581234,0.008918450279403285,0.007939009576368158,0.16087436108165676,0.1609097858995055,0.18163880488896633,0.12012564147645917,0.1201721130818584,0.1037395639453138,0.006806125691557418,0.03215002266170052,0.020638115827044973,2.8230167562226702,5.34064982443085e-05,0.00016601523462906234,7.697429918947395e-05,7.953875538618853e-05,6.302787305366534e-05,0.025880560053431277,0.025891959198224696,0.03299265544149198,0.014430169740130807,0.014441336762558963,0.010761897127563853,4.632334692927794e-05,0.0010336239571478569,0.0004259318248905242,7.969423605913966
0.0,0.0,0.8,0.11904858268263314,0.11904858268263312,0.1187245925964057,0.11701093564436989,0.10462583193830863,0.7996535509349721,0.7996295717201275,0.8752444943347382,0.8555284599563956,0.8555003021975944,0.9183965190234,0.1661880992936935,0.752622927512218,0.03900882472127498,8.116036295890808,0.0003378914663778087,0.0003378914663777778,0.005987079226058674,0.005998738117382029,0.004708712113680599,0.03700486917497473,0.03700929414138022,0.026018054681617758,0.030995798544319643,0.031001837837651768,0.021270576940424186,0.0014888522520558516,0.003361804658125618,0.0030081688202683084,2.211078563937842,1.1417064305094581e-07,1.1417064305092494e-07,3.5845117659103326e-05,3.59848590009321e-05,2.217196976952241e-05,0.0013693603426569952,0.0013696878528432002,0.0006769391694156517,0.0009607395274000476,0.0009611139493120568,0.00045243744337850517,2.216681028451781e-06,1.1301730559395105e-05,9.049079651234428e-06,4.888868415905429
0.0,0.0,0.9,0.11538608402680092,0.11510819783760391,0.121510255988006,0.11968380774589611,0.10326581247189877,0.7258060143714327,0.7257690333401825,0.7968482809857823,0.8028795303462791,0.8028352426513748,0.8643717849539365,0.18732827467489402,0.7889544609220761,0.03787359697844788,10.85063054561615,0.008224249079411088,0.009095353472226016,0.007557840577809816,0.007299043486748512,0.008647777131524875,0.12888112206064337,0.12890941134682668,0.15813501168784352,0.1262132843984737,0.12625558274140664,0.1395694965860359,0.0014720614826488005,0.0332344308886732,0.016854075233977927,4.769190703067309,6.763827292019414e-05,8.272545478473384e-05,5.7120954199588615e-05,5.3276035821445876e-05,7.47840493165246e-05,0.01661034362361045,0.016617636333785366,0.025006681921514406,0.015929793158650004,0.015940472173372175,0.01947964437727949,2.166965008698185e-06,0.0011045273964939955,0.0002840598519925881,22.745179962223652
