fair_majority,fair_minority,run,num_iter,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,balance_chierichetti,balance_bera,KL_fairness_error,time
0.0,0.0,8.0,22.0,5.0,5.0,0.5966788833818638,0.5957857067549548,0.0911385812453582,0.0041426009818473,0.0030291467905298,0.0604030246982328,0.0504003897346874,0.0172915959326423,0.065766570818206,0.0167285043047377,0.00344395977934,0.503968253968254,0.8859964658323448,0.0076117111478895,1.406710147857666
0.0,0.1,6.0,23.0,6.0,6.0,0.5967493886131018,0.5963040326798531,0.0977739583725863,0.0005309951147929,0.0040108995161393,0.0812289671029994,0.0693680290746582,0.0236071217337639,0.085177422823811,0.0263773755982063,0.0085026815322055,0.521978021978022,0.8843029670642389,0.0089957882072116,0.4364466667175293
0.0,0.2,8.0,23.0,6.0,6.0,0.5926959015023291,0.5956417746066761,0.0991578937694396,0.0019343732522056,0.0046453245588602,0.0653666968304616,0.0533143524621595,0.0180201792028649,0.0661857661956066,0.0057720616533943,8.401887311168573e-05,0.4634146341463415,0.806183571350305,0.0270324428766139,3.56022572517395
0.0,0.3,5.0,17.0,7.0,7.0,0.5793027331324708,0.5792523124741314,0.0812710776127349,-0.0272666331266891,-0.0124239019521127,0.0775187346358898,0.0634689649023332,0.023093955326235,0.0634251727692684,-0.0096517539472002,-0.0041509349862705,0.5465116279069767,0.9343588328619712,0.0027570363718524,2.7953755855560303
0.0,0.4,8.0,18.0,7.0,7.0,0.5849605879909784,0.5886300302101771,0.1062645513797953,0.0001974295257735,-0.0025413496134518,0.0892835129928452,0.0755662063798692,0.0297380069780571,0.0778757856987334,0.0068174912620404,0.0035118196896453,0.5754716981132075,0.9657858594737132,0.0010599048641609,2.7835617065429688
0.0,0.5,7.0,29.0,6.0,6.0,0.5862476841841573,0.586743854107476,0.0970966439003832,-0.0007962952568138,-0.0024810514157049,0.0798612688307991,0.0681371802889431,0.02446936344927,0.0769283088166228,0.0181813192009604,0.0030986168240755,0.558282208588957,0.929765209345362,0.0057659280992055,3.936687707901001
0.0,0.6,2.0,19.0,7.0,7.0,0.5879712392331755,0.5929800217678998,0.1103937394361657,0.0044262543025332,-0.0054260144002931,0.0712368249923642,0.0573679996554289,0.0228690567814383,0.0770050649178677,0.0068857866493712,0.0027960824162277,0.4519230769230769,0.8229783097393523,0.0218859954834223,3.1882805824279785
0.0,0.7,1.0,15.0,8.0,8.0,0.5835996176440924,0.5845448185589529,0.1018149736067596,-0.0134999073868921,-0.0021137701006456,0.1083794104469789,0.0929764424808383,0.0324108165410368,0.0958193077215647,0.0151709418633546,0.0041829008950065,0.4845360824742268,0.815746145786559,0.0271025692330082,3.6431686878204346
0.0,0.8,1.0,19.0,7.0,7.0,0.5864363458145122,0.589075644367714,0.113104398489177,0.0076353222381796,0.0044570159838107,0.0886059372313926,0.0749352593537223,0.0253106513861887,0.0720097195811603,0.0009118255263445,-0.0002756306552667,0.5066666666666667,0.7855121977259383,0.0353816866549457,3.9943461418151855
0.0,0.9,7.0,18.0,6.0,6.0,0.5861628645922601,0.5875056271886396,0.1063761832933421,0.0097152890338396,0.0083008198514045,0.0795691832743903,0.0677870349497251,0.0248169449478475,0.0711077443641182,0.0114557260668656,0.004655821224884,0.5227272727272727,0.9076543886074216,0.0064918794445738,4.228187799453735
0.0,1.0,6.0,33.0,7.0,7.0,0.5969780432294037,0.6001100590765196,0.1043916232933716,-0.0020450099009622,0.0021778043827884,0.0718998668636149,0.0579010879016705,0.0182416032811375,0.0793559517432556,0.0091767038398736,0.0007703739416696,0.5,0.7756501487902705,0.042155725832677,7.358478784561157
0.1,0.0,7.0,18.0,6.0,6.0,0.5933422157783319,0.5952199678166957,0.099184480722939,0.0019985259556085,0.0099913426967099,0.0795497484659007,0.0676984225449937,0.0260271443340705,0.0747425177478084,0.0154057198303826,0.0051143418402527,0.4878048780487805,0.8668972777861331,0.0107891612990378,3.0359697341918945
0.1,0.1,3.0,28.0,8.0,8.0,0.5841495335067968,0.582444727102691,0.1007241742273449,-0.0152684511422931,-0.0032171823372948,0.093449692487012,0.0779954647823062,0.0298745565029451,0.0914694995397674,0.0114697165320749,0.0048324759361449,0.4421052631578947,0.8105805933168151,0.0256511700965195,4.177260637283325
0.1,0.2,0.0,19.0,6.0,6.0,0.5832289799253162,0.5891918556680115,0.0900762635351526,-0.007569526948135,0.0108785815560505,0.073776386957684,0.0615341493811972,0.0221339292076362,0.065995505694958,0.0044520812168188,-0.001079181678309,0.5773195876288659,0.9677519937638662,0.0013030402035977,3.4849085807800293
0.1,0.3,6.0,20.0,6.0,6.0,0.5932432034188505,0.5971358865950107,0.0986812941255857,0.0012171502681414,-0.0073015162383194,0.0865194527168917,0.0747452361074201,0.0455953677807119,0.0774366400970902,0.0181796851154315,0.0189843795137323,0.5175438596491229,0.901723497905287,0.0065326381999956,3.0332305431365967
0.1,0.4,2.0,22.0,6.0,6.0,0.5944686746846598,0.596625412660317,0.102650544535308,0.0055393499159264,-0.0013889819344696,0.0812713233743468,0.0694602499902475,0.0231022357229357,0.0681558555062296,0.0082345223716445,-0.0013902034160893,0.5526315789473685,0.9125607217210272,0.0056356047868377,3.75959587097168
