id_row,tau_x,tau_y,balance,TOPSIS_score,rank
11,0.5744288093170811,0.5750858756728587,0.8906612973367414,0.9208703613147992,1
26,0.5741936555084488,0.5750831446161595,0.8853199407672777,0.9154991932700336,2
2,0.5721498890648954,0.5746932069479964,0.8738348110865205,0.9036650556576103,3
55,0.5722406812298398,0.5737651234111512,0.869812122466483,0.8995454774435199,4
27,0.5719224103296533,0.5729529117512361,0.8648880316683709,0.8944718475355724,5
14,0.5765676859797428,0.5776464791227018,0.8629070122468999,0.8935283235192167,6
70,0.5672949545393953,0.5686664170845372,0.8623289955190142,0.8903447619371472,7
25,0.5701687765048902,0.5721631694574538,0.8603583377727345,0.889553886572511,8
49,0.5655497604846925,0.5706216449534665,0.8591356387754887,0.8871401936433724,9
108,0.5531568666689368,0.5577201581974853,0.8664280915028881,0.8868183178603899,10
33,0.5773585484841253,0.5776757357903889,0.8560202201993373,0.8866716586416389,11
4,0.5724010840187207,0.5733025924166377,0.8562057419829291,0.8859173827666994,12
16,0.5700144680951177,0.5709685021383912,0.8564631823897741,0.8854714429917517,13
23,0.5704202797710604,0.571302146708647,0.8560059278628861,0.8851368507970454,14
57,0.5704343547622558,0.5716821423346936,0.853822318580699,0.8830199403060174,15
85,0.5422648839092916,0.5553529563426017,0.8687145815573964,0.8828038203209996,16
22,0.5714913679113764,0.5733127576185107,0.851986989680346,0.8815701089896948,17
38,0.5714802531713776,0.5733478013322545,0.8510590952970636,0.8806453757096615,18
71,0.5489175864328577,0.5653891252253167,0.8577550562163003,0.8790372984630267,19
56,0.5750891178709532,0.5757034476520504,0.8478530041479561,0.8781262706821025,20
12,0.580072700485541,0.5812971817326924,0.8469860838116418,0.8778867500664009,21
34,0.5672444354760601,0.5692361276749891,0.8491453185926595,0.8774039402175405,22
48,0.5702155452438845,0.5722114660300142,0.8445615164977578,0.8738200499781879,23
13,0.5684330697760407,0.5699878646208639,0.8451582308994171,0.8737957576498369,24
97,0.5386609401542672,0.544991003304881,0.8651186319350156,0.8736611275184938,25
86,0.5472895904549173,0.5542646969651127,0.8532411768013848,0.8710785762454701,26
45,0.5700788762666951,0.5718247035575249,0.8413929613393316,0.870586267179099,27
106,0.5501456699534055,0.5578212630563335,0.8489832583050736,0.8694308660359937,28
46,0.5727399822497804,0.573483614024774,0.8389095710173805,0.8686793294169429,29
75,0.5516320785485961,0.5559648978538384,0.8475988686757769,0.8681601821732665,30
96,0.5411537828507254,0.5548300645152925,0.8526142279795532,0.8678305772073048,31
83,0.553419875916177,0.5609961846414431,0.8440754082281595,0.8668665222359979,32
36,0.5711569190950936,0.5718653438222183,0.8367254966049085,0.8660928602542404,33
107,0.5510125857391514,0.554116080589972,0.8460225144462237,0.8658758145512181,34
47,0.5671201814389604,0.5680465676962656,0.8371471554232016,0.8652835048447559,35
50,0.5686711586181457,0.5719503305313772,0.8340692152416673,0.8630634142900638,36
37,0.5644530120884635,0.5661570804992724,0.8342773880686242,0.8615709817664114,37
44,0.5763642864588505,0.5767506375492983,0.8280475633923542,0.858450569384912,38
69,0.5712100137259254,0.5721883433674542,0.8277266357238968,0.8571441498036411,39
74,0.5527223430704853,0.5572013253772734,0.8340625247269546,0.8560926822569322,40
59,0.5679674233905271,0.569190009073549,0.8268095538113058,0.8553379211557054,41
15,0.5685870349964641,0.5745923466334042,0.8255922001580165,0.8548634295973288,42
35,0.5752316143231957,0.5761226128641374,0.8245588890440507,0.8548074238791806,43
62,0.559557992180312,0.5691094335249336,0.8279481186375847,0.8546419165128981,44
1,0.571404985017909,0.5720222140309978,0.8249336541280525,0.8543582780832151,45
60,0.5673580874533363,0.5687057636241661,0.8258563012906752,0.8542120656908491,46
0,0.5749808970052435,0.5760701069573518,0.8235928757129622,0.8538111260915928,47
73,0.5633712563288541,0.5658412411741618,0.8255253894877124,0.852633432688781,48
95,0.5488397887207828,0.5575272921129535,0.8312271853953576,0.852117631899481,49
98,0.5179221781470104,0.5330639955092527,0.8589355665401295,0.8508383740260599,50
3,0.5740057762150131,0.5748340331603473,0.8192136255940856,0.8492235212591037,51
109,0.5020778511573425,0.5269900499984772,0.8762258328623277,0.8485970674428228,52
72,0.5655438097706537,0.5698037994056391,0.8201418232404072,0.8483483578477488,53
84,0.5469228589756056,0.5603640889657888,0.8271684402596616,0.8482247492339351,54
94,0.5625264257663426,0.5628758106316398,0.8204442511842496,0.8468805140063087,55
105,0.555537975580322,0.5598417976229153,0.8208384273329632,0.8448636497216547,56
58,0.5676786521431729,0.5719614583285448,0.8103537636522153,0.839226556000644,57
24,0.5730704452206086,0.574217764478776,0.8093465526823795,0.8391824318718027,58
39,0.5538073090526578,0.5670268127849741,0.8132168333651982,0.8382638001101215,59
119,0.4855827172818232,0.5208647070888608,0.8845525239999181,0.837484202000461,60
120,0.4606379867454356,0.5029335442388423,0.96819018377035,0.8350191460696573,61
87,0.531172429190844,0.5341739802989466,0.8274754122543702,0.8332441811909506,62
118,0.4992229432986795,0.5257464177916105,0.8519422956606819,0.8298265544274321,63
61,0.5636499053158065,0.5733835340465038,0.8009171411524372,0.8292351751300079,64
93,0.5510947014839725,0.5587080744308801,0.8046715863690455,0.8276122532992781,65
82,0.5612161016666019,0.5652843304528501,0.7963142705774336,0.8231644552984893,66
51,0.5487425427924958,0.5669459177388012,0.791051983808657,0.8150346417326102,67
92,0.5563329795798897,0.562187717710517,0.7786352273896134,0.8041015614268149,68
28,0.5663272972848201,0.5726342290882431,0.7666703652358499,0.7954390272724398,69
63,0.5418278136096123,0.5572040444820134,0.7715643971082857,0.7923133012280565,70
117,0.5013519367057527,0.5296278365249066,0.7982777561176617,0.7912710010371377,71
5,0.5691074728632839,0.5757792920204653,0.7598239584649373,0.7892532115075426,72
81,0.5532836214055432,0.5633209134005106,0.7608605103340758,0.7859907737985505,73
64,0.5385566446813989,0.5521898832958246,0.76215193989398,0.7811725974216657,74
76,0.5121416717038562,0.5306748705700544,0.7719051242408012,0.7742929388591298,75
104,0.5470808428145575,0.558060685089065,0.7486666173126894,0.7715973783884458,76
68,0.5654906979613082,0.5706832813163641,0.7423968270713928,0.7708886156592838,77
91,0.5576011784131344,0.5613124157868328,0.7296252468503649,0.7556543457245495,78
80,0.5514379817990969,0.5682544354514455,0.7289752103691369,0.7545753386657397,79
116,0.5145177655349054,0.5299780551682085,0.7487854053543224,0.7542064013224918,80
17,0.5565634115240529,0.5713971000440925,0.7104511174195773,0.737540482762524,81
52,0.5429636255507175,0.5603193072674475,0.7073630976976826,0.7301672250174503,82
79,0.5450187809243248,0.5645302882171926,0.6940255349221393,0.7180063102005564,83
67,0.5680533606456323,0.5747822810174077,0.6809766210620167,0.7104037447384558,84
65,0.514881009658103,0.5391738512259763,0.694485502015718,0.7056065156219968,85
103,0.5400306221407628,0.5517023652274025,0.6789441067497641,0.7001110542106087,86
40,0.5392230656170576,0.5704461098128777,0.6744422914986459,0.6978296328510896,87
53,0.520591112489966,0.5485026491233236,0.6699712501239218,0.6854449152587215,88
77,0.55860264618311,0.568045300905583,0.6578476811997032,0.6852516894415366,89
115,0.4949699890935495,0.5214264287858299,0.677494377381705,0.6786679342702272,90
102,0.537499167545431,0.5511505573513823,0.6186187034245249,0.6398095988826021,91
6,0.5577741831718729,0.5742194803504075,0.5988364759578705,0.6271822406957993,92
54,0.4867329064598169,0.5283107408032076,0.6202247220796566,0.6233322873605401,93
41,0.5079668183874226,0.5545878529810404,0.6060106107660456,0.6201327923097916,94
66,0.556776212044086,0.5648875592948908,0.5845796945774896,0.611922295471549,95
42,0.512263352450095,0.5508362363929177,0.557529761904762,0.573147671795016,96
29,0.5233049535540684,0.5657860133480729,0.5355130659216849,0.5560670838132268,97
90,0.5370283294474618,0.5571748531470007,0.5321645030239084,0.5549269116977859,98
43,0.4770135178279606,0.522557244488629,0.5226841517857144,0.5258562701461607,99
114,0.4673746664705946,0.5287316959051938,0.5047706422018349,0.5069345395606777,100
