run;row_clus;col_clus;NLL;NMI_true_labels;AMI_true_labels;ARI_true_labels;NMI_rows;AMI_rows;ARI_rows;NMI_cols;AMI_cols;ARI_cols;balance_chierichetti;balance_bera;KL_fairness_error;time
7;25;25;3984803.84477977;0.09164069155350175;0.07112849099435609;0.021653390912524887;0.45959170687031864;0.44995775341783395;0.23000710894685003;0.5580259179946794;0.5449604463505643;0.45691673051637016;0.23655913978494625;0.6761136693209862;0.150127594295776;5032.348134756088
8;25;25;3984188.0269341385;0.09213786311470623;0.07154929525432215;0.025701289223435494;0.4844460843947996;0.4753676589066479;0.2672826389904194;0.5655718172392349;0.5526088671203492;0.5348942963103178;0.1651376146788991;0.5009145653165502;0.18926466534263905;5040.653415203095
2;25;25;3985372.1479345122;0.09229357300826806;0.07189705968036718;0.023427270960066474;0.4681477161244413;0.45885018963989793;0.23928413805837512;0.5553626953985501;0.5421480411828262;0.44606356673088815;0.24242424242424243;0.6896059598395867;0.14290705137718995;5469.025649309157
10;25;25;3985859.6416284014;0.09968318039230817;0.07927707750847825;0.02987484088917086;0.4927667971169595;0.4838562874179458;0.26113362274997987;0.5815683068249049;0.5690480377176405;0.5406960039064564;0.23;0.6608723781796039;0.15506789897063425;5035.211016416551
5;25;25;3983998.9653981742;0.09728345172715934;0.07674208012592106;0.03328020990986208;0.5084024467591339;0.499748549841433;0.28675439596788804;0.6066477420051222;0.5946154777405616;0.4975167460095384;0.2236024844720497;0.6458492364995114;0.15772549702061095;5172.1102743148795
3;25;25;3986907.9561619116;0.0818808158253002;0.061075935313018845;0.0249361859727847;0.44387128275454624;0.4341959288410697;0.21507805492906576;0.5414755329216094;0.5276666446963499;0.5019495835273653;0.23076923076923078;0.6626682270333528;0.16141691159651225;5457.330220937729
6;25;25;3984960.1085537733;0.09167667950693068;0.07101620941710524;0.024984420932199325;0.4833727718349911;0.4742366485888684;0.26933128189792777;0.5642213362720062;0.551103248629167;0.5139319597860406;0.16363636363636364;0.4970011702750146;0.22591311812187836;5142.353296279907
1;25;25;3984844.5644157375;0.09472418786567363;0.0741349660286519;0.0268493529389694;0.47305028463352367;0.46376481027951594;0.24580989406311612;0.5729050789731307;0.560018998016812;0.5426896981782664;0.22764227642276422;0.6553540081919251;0.14821779383385408;5759.248201608659
4;25;25;3984837.938911487;0.08820515215350809;0.06761689822783873;0.024727742732659548;0.4837197543409314;0.4746465474367173;0.275288629601182;0.5821119695912618;0.5696725289595035;0.53620571384682;0.1864406779661017;0.5553790855136671;0.1728399372882107;5472.791173934937
9;25;25;3986328.5347896293;0.08616282538042928;0.06548425892296719;0.021876875966346417;0.47558108357367224;0.4663874780747641;0.26677079422557876;0.5777580654220076;0.5651196578770668;0.5296424967548964;0.15;0.4609865927188541;0.1898706580225047;5038.973672389984
