run,time
0,5759.248201608658
1,5469.025649309158
2,5457.330220937729
3,5472.7911739349365
4,5172.11027431488
5,5142.353296279907
6,5032.348134756088
7,5040.6534152030945
8,5038.973672389984
9,5035.21101641655
