run,row_clus,col_clus,tau_x,tau_y,NMI_true_labels,AMI_true_labels,ARI_true_labels,NMI_rows,AMI_rows,ARI_rows,NMI_cols,AMI_cols,ARI_cols,reconstruction_error,balance_chierichetti,balance_bera,KL_fairness_error,time
0,8,8,0.0,0.0,0.125948148669,0.10741508682,0.0688564077769,0.335309643451,0.292309045252,0.297017241942,0.917560771476,0.891467471873,0.969581679053,0.0,0.0,0.300578034682,0.816799947988,0.0169550186373
1,8,8,0.0,0.0,0.143868535453,0.134137229171,0.0801066242719,0.428501725197,0.374374611408,0.375049509759,0.965686239087,0.95158280716,0.979404577819,0.0,0.0,0.320634920635,0.854861208962,0.0125511461307
2,8,8,0.0,0.0,0.117423545268,0.107008344212,0.0596569789428,0.360255016419,0.29949239577,0.288606821435,0.997918482108,0.996337446996,0.999596726264,0.0,0.0,0.325490196078,0.814194485741,0.0242080432483
3,8,8,0.0,0.0,0.165999483768,0.147555774388,0.0452764088002,0.359437085087,0.295972359502,0.201121782874,0.970884144085,0.957426444988,0.990137159875,0.0,0.0,0.297619047619,0.810603335821,0.0152331301602
4,8,8,0.0,0.0,0.104116149105,0.0822505436658,0.0340537962766,0.456589994287,0.412232436634,0.362395949124,0.994203655226,0.990077297481,0.997093544364,0.0,0.0,0.2,0.58903842403,0.0693127912424
5,8,8,0.0,0.0,0.135307810565,0.110400555032,0.0850272710425,0.409081052264,0.362844877923,0.313174923392,0.694523241759,0.657913619387,0.666419889597,0.0,0.0,0.355555555556,0.565894039735,0.10890824821
6,8,8,0.0,0.0,0.131367984663,0.118631510447,0.0757317519064,0.432466732647,0.380692836836,0.346190669479,0.991919902603,0.986578815508,0.996545475309,0.0,0.0,0.354430379747,0.880279617366,0.0093488777871
7,8,8,0.0,0.0,0.126097972868,0.106556679392,0.0708040022415,0.285745821819,0.223677739908,0.175045032063,0.638029906637,0.590875014127,0.607062311479,0.0,0.0,0.326196473552,0.64306140879,0.0576026644711
8,8,8,0.0,0.0,0.146871792644,0.122271755432,0.151332026829,0.436856508623,0.395065032607,0.393181729841,0.995532062719,0.992459716653,0.999369352238,0.0,0.0,0.362962962963,0.691648270787,0.0376526177386
9,8,8,0.0,0.0,0.171602052888,0.157362392817,0.117003583268,0.394651525299,0.345635933317,0.282986055585,0.598118288318,0.564816105419,0.289237668968,0.0,0.0,0.325925925926,0.868749407507,0.0107038728603
